DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
SET OF SEALED WINDOW GLASS UNIT FOR OBSERVATION ROOM CONSISTING OF 02 TWO ITEMS AS PER ANNEXURE ATTACHED,SET SEALED WINDOW GLASS UNIT FOR OBSERVATION ROOM CONSISTING OF TWO ITEMS AS PER ANNEXURE ATTACHED ,,No,,,,,,,OF 02 ,
"Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5.",Handle IRS Isolating Cock Ball Type RDSO ,Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,
"SPINDLE for IRS Design : 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item-6, Alt.-5.",SPINDLE IRS Isolating Cock Ball Type ,Drg No.- Sk.-97003 ,No,,,,,Alt.-5 ,,Design 20 RDSO 6 ,
Kit for Bath Room Fittings of RA Type Saloon Car Consisting of 04 Four Items. 1 Set consisting of each items 1 One No. as per annexure attached.,Kit Bath Room Fittings RA Type Saloon Car Four Set consisting 1 One No per annexure attached ,,No,,,,,,,Consisting 04 Items 1 items 1 ,
ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF DRG.NO.-M1006365 ALT NO.-NIL AND RDSO S SPECN. NO. C-K513 [REV-0 OF DEC 2005] WITH ALL 5 AMENDMENTS [LAST AMENDMENT SLIP NO. 5 ISSUED ON SEPT 2015] FOR ITEM NO. 10. WITH SUPPLY AND FITMENT.,ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF AND RDSO S NO ,DRG.NO.-M1006365 ,No,SPECN C-K513 ,,,,,REV-0 ,,
MOUNTING BRACKET ON INNER HEAD STOCK FOR IR-DRDO BIOLOGICAL TOILET TANK.AS PER DRG. NO.CG-15033.,MOUNTING BRACKET ON INNER HEAD STOCK BIOLOGICAL PER ,DRG NO.CG-15033 ,No,,,,,,,,
"Glass Shutter as per Drg. No.- WFC-5-4-001, Item No.- 18.",Glass Shutter per ,Drg No.- WFC-5-4-001 ,No,,Item No.- 18 ,,,,,,
"Louver Shutter with net as per Drg. No.- WFC-5-4-001, Item No.- 17.",Louver Shutter net per ,Drg No.- WFC-5-4-001 ,No,,Item No.- 17 ,,,,,,
"Modified Hydraulic door closer. Size- 250x80x80 cm, Material: Aluminium. Make with model No. Godrej c071 / Stanley SGDC505 / Quba QDC 40 ",Modified Hydraulic door Material Aluminium Make model No Quba ,,No,,,,,,,Size- 250 Size- 80 Size- 80 Godrej 071 Stanley 505 QDC 40 ,
"Sampling Cock with Ball Valve arrangement Size : 25 mm. Bore with 01 One No. Hex Nipple Size : Dia 25 mm. x 50 mm. Mat. AISI - 304. make : AXCON, Model No.- CF 8 or Similar.",Sampling Cock Ball Valve arrangement One No Hex Nipple Size 25 Mat make AXCON Similar ,,No,,,,,,,Size 25 Bore 01 Dia 25 x 50 AISI 304 CF 8 ,
"SPINDLE for IRS Design : 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item-6, Alt.-5.",SPINDLE IRS Isolating Cock Ball Type ,Drg No.- Sk.-97003 ,No,,,,,Alt.-5 ,,Design 20 RDSO 6 ,
"Bulb Type Split Cotter 1 to Drg. No.- WD-94068-S/1, Item - 1",Bulb Type Split 1 ,Drg No.- WD-94068-,No,,,,,,,Cotter 1 1 1 Item 1 ,
"Bulb Type Split Cotter 2 to Drg. No.- WD-94068-S/1, Item - 2",Bulb Type Split 2 ,Drg No.- WD-94068-,No,,,,,,,Cotter 2 2 1 Item 2 ,
Table Arm For A.C. Chair Car Type - 1 Sk.No.- LLH : 11/2015.,Table Arm Chair Car ,,No,,,,,,,Type 1 LLH 11 LLH 2015 ,
Modified Catch for securing B.C.B.R. as per Sk. No.- LLH-04/2002.,Modified Catch per ,,No,,,,,,,No.- 04 No.- 2002 ,
1 POH Kit for M/s. SIL make Levelling Valve as per Annexure - I 04 Nos./Set. 2 POH Kit for M/s. SIL make Duplex Check Valve as per Annexure - II 02 Nos./Set.,POH SIL make Levelling Valve per Annexure POH Kit M/s SIL make Duplex Check Valve per Annexure Nos./Set ,,No,,,,,,,Nos./Set 1 I 04 Nos./Set 2 II 02 ,
"Modified Hydraulic door closer. Size- 250x80x80 cm, Material: Aluminium. Make with model No. Godrej c071 / Stanley SGDC505 / Quba QDC 40 ",Modified Hydraulic door Material Aluminium Make model No Quba ,,No,,,,,,,Size- 250 Size- 80 Size- 80 Godrej 071 Stanley 505 QDC 40 ,
Fixing Rubber Profile with key as per Drg. No.- ICF/VNR-5-4-202.,Fixing Rubber Profile key per ,Drg No.- ICF/VNR-5-4-202 ,No,,,,,,,,
Stopper as per RDSO Drg. No.- CG-K 7045.,Stopper per RDSO ,Drg No.- CG-K 7045 ,No,,,,,,,,
Strap Assembly as per Drg. No.- AE-61698.,Strap Assembly per ,Drg No.- AE-61698 ,No,,,,,,,,
Non Inflammable High Strength Glass Wool Composite material for Non AC Coach. LV Window Structure. As per Drg. No.- ICF Sk. 5-5-030 Only Dimension ,Non Inflammable High Strength Glass Wool Composite material Non AC Coach LV Window Structure As per Only Dimension ,Drg No.- ICF Sk 5-5-030 ,No,,,,,,,,
"SLR Observation Glass On end Wall of RCF Coaches, Size : 800 mm. x 560 mm. x 6.38 mm. as per RCF Drg. No.- LB-54105, Alt.- Nil.",SLR Observation Glass On end Wall RCF Coaches x per RCF ,Drg No.- LB-54105 ,No,,,,,Alt.- Nil ,,Size 800 x 560 x 6.38 ,
"Granite Table Top GALAXY , Size : 8 x 2 . Supply and installation with polishing ",Granite Table Top GALAXY Supply installation polishing ,,No,,,,,,,Size 8 x 2 ,
Frame for Emergency Glass for Non-AC Janshatabdi and Similar Type of Copy as per LLH Sk. No.- 39/2004.Item no-7.,Frame Emergency Janshatabdi Similar Type Copy per LLH ,,No,,Item no-7 ,,,,,No.- 39 No.- 2004 ,
"Securing Bracket for SS Wire Rope Welded on Inner Head Stock to Drg. No.- CG 15034, Alt. No.- Nil, Item No.- 2.",Securing Bracket SS Wire Rope Welded Inner Head Stock ,Drg No.- CG 15034 ,No,,Item No.- 2 ,,,Alt No.- Nil ,,,
"Brackets on U/F for mounting of DRDF BIO-TOILET TANK as per Drg.No. CG-15036, Alt-1, Item No.8",mounting TANK per ,Drg.No CG-15036 ,No,,Item No.8 ,,,Alt-1 ,,,
Set of Protection Cover for Drain Cock Assembly consisting of 02 Two Nos. Item as per annexure attached. Item No. 1 - 01 No. Item No. 2 - 01 No.,Set Protection Cover Drain Cock Assembly Two Nos Item per annexure attached Item No No ,,No,,Item No 1 01 ,,,,,consisting 02 No 2 2 01 ,
"Set of Catch of Snack Table, Drg. No.- Sk.No.- LLH.23/2010 consisting of four 04 items :- i Fig - A, It.- 1 to 6 200 Nos. ii Fig - B, It.- 7 to 11 300 Nos. iii Fig - C, It.- 12 to 14 200 Nos. iv Fig - D, It.- 15 to 18 200 Nos.",Set Catch Snack Table consisting items Fig Nos ii Fig It.- Nos iii Fig It.- 200 Nos iv Fig It.- 200 Nos ,Drg No.- Sk.No.- LLH.23/2010 ,No,,,,,,,four 04 It.- 1 1 6 6 200 It.- 7 7 11 11 300 It.- 12 12 14 14 200 It.- 15 15 18 18 200 ,
"Indication Plate Sticker for Emergency Window, Item No.- 2, Drg. No.- CC-64359.",Indication Plate Sticker Emergency Window ,Drg No.- CC-64359 ,No,,Item No.- 2 ,,,,,,
"Glass Shutter as per Drg. No.- WFC-5-4-001, Item No.- 03 .",Glass Shutter per ,Drg No.- WFC-5-4-001 ,No,,Item No.- 03 ,,,,,,
"Louver Shutter with net as per Drg. No.- WFC-5-4-001, Item No.- 02.",Louver Shutter net per ,Drg No.- WFC-5-4-001 ,No,,Item No.- 02 ,,,,,,
"BRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BALTED DESIGN TO DRG. NO. T-0-3-680 ITEM-1,2,3,4 and 5 ALT.- NIL OR LATEST",BRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BBRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BALTED DESIGN NIL OR LATEST ,DRG NO T-0-3-680 ,No,,,,,,,"TO 1 TO 2 TO 3 TO 4 ITEM-1,2,3,4 5 ",
Rubber Profile As per sample Minimum Length 20 Mtrs. or its multiple.,Rubber Profile As per sample Minimum Mtrs multiple ,,No,,,,,,,Length 20 ,
Head stock complete with 8 mm Outer Head Stock to SK.NO.LLH-12/2003 Alt.No.nil.,Head stock Outer Head ,,No,,,,,Alt.No.nil ,,complete 8 Stock 12 Stock 2003 ,
Door Stop Rubber as per Drg. No.- C/CF-311 with M-6 M.S. Plain Washer Galvanised .,Door Stop Rubber Plain Washer Galvanised ,Drg No.- C/CF-311 ,No,,,,,,,per 6 ,
Rail Wheel Arrangement for Pantry Sliding Door Without Aluminium Channel as per Sk.No.- 08/Nos. consisting of Item No.- 1 and 3 to 5.,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting ,,No,,Item No.- 1 3 5 ,,Sk.No.- 08/,,,,
"Louver Shutter with net as per Drg. No.- WFC-5-4-001, Item No.- 02.",Louver Shutter net per ,Drg No.- WFC-5-4-001 ,No,,Item No.- 02 ,,,,,,
"Glass Shutter as per Drg. No.- WFC-5-4-001, Item No.- 03 .",Glass Shutter per ,Drg No.- WFC-5-4-001 ,No,,Item No.- 03 ,,,,,,
"Stopper Assembly for Transverse Back rest to ACCN Coaches. Drg. No.- AE 61468, Alt.- B.",Stopper Assembly Transverse Back rest ACCN Coaches ,Drg No.- 61468 ,No,,,,,Alt.- B ,,,
"Modified hydraulic door closer. Size:- 250x 80x 80 CM, Material: aluminium. Make with model No. Godrej CO71 / Stanley SGDC50S / Quba QDC-40 ",Modified hydraulic door closer CM Material aluminium Make model No ,,No,,,,,,,Size 250 250x 80 80x 80 Godrej 71 Stanley 50 Quba 40 ,
"Catch arrangement for Back Rest. Drg. No.- AE-61519, Alt.- C.",Catch arrangement Back Rest ,Drg No.- AE-61519 ,No,,,,,Alt.- C ,,,
Screwing piece. Drg. No. CG-15036 Alt. No.-3. Item No.-8,Screwing piece ,Drg No CG-15036 ,No,,Item No.-8 ,,,Alt No.-3 ,,,
"Catch arrangement for conductor s berth, Drg. No. CC 61297.",Catch arrangement conductor berth ,Drg No CC 61297 ,No,,,,,,,,
"Modified hydraulic door closer. Size:- 250x 80x 80 CM, Material: aluminium. Make with model No. Godrej CO71 / Stanley SGDC50S / Quba QDC-40 or similar.",Modified hydraulic door closer CM Material aluminium Make model No similar ,,No,,,,,,,Size 250 250x 80 80x 80 Godrej 71 Stanley 50 Quba 40 ,
LOCK FOR SLIDING GLASS SHUTTER FOR JANASATABDI COACHES AS PER SK NO. LLH 1412005,LOCK FOR SLIDING GLASS SHUTTER FOR JANASATABDI COACHES AS PER SK NO ,,No,,,,,,,LLH 1412005 ,
Modified Catch for securing B.C.B.R. as per LLH s Sk. No.- 04/2002.,Modified Catch per LLH ,,No,,,,,,,No.- 04 No.- 2002 ,
"Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5.",Handle IRS Isolating Cock Ball Type RDSO ,Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,
Modified Catch for Securing B.C.B.R. as per Sk.No.- LLH-04/2002.,Modified Catch ,,No,,,,,,,Sk.No.- 04 Sk.No.- 2002 ,
Buffer Spring Parting Plate to Drg.No.- RDSO Sk.-K-3008.,Buffer Spring Parting Plate ,Drg.No.- RDSO Sk.-K-3008 ,No,,,,,,,,
"Securing Bracket for S.S. Wire Rope Welded on inner head stock to Drg.No.- CG15034, Alt.No.- NIL, Item No.- 2.",Securing Wire Rope Welded inner head stock ,Drg.No.- CG15034 ,No,,Item No.- 2 ,,,Alt.No.- NIL ,,,
Rail Wheel Arrangement for Pantry Sliding Door Without Aluminium Channel as per Sk.No.-LLH-08/Nos. consisting of Item No.- 1 and 3 to 5.,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting ,,No,,Item No.- 1 3 5 ,,Sk.No.-LLH-08/,,,,
Rubber Kit for M/s. FTRTIL make C3WR DV Pt.No.- 501004200 comprising of 48 items to FTRTIL Pt.No.- 790501126 to P.L. Code No.- 30986369 as per annexure atached.,Rubber items FTRTIL Pt.No.- per annexure atached ,,No,,,,,,,make 3 Pt.No.- 501004200 comprising 48 Pt.No.- 790501126 No.- 30986369 ,
"Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5.",Handle IRS Isolating Cock Ball Type RDSO ,Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,
Set pf Spares of Retention Tank. consisting of 02 Two items. Item No.1 Clutch Wire Type mechanism Remain Inside the Toilet MDTS-41493 04 Nos. Per Set Item No.2 Clutch Wire 08 Nos. Per Set ,Set pf Spares Retention Tank Two items Clutch Type mechanism Remain Inside Nos Per Set Clutch Wire Nos Per Set ,,No,,Item No.1 ,,,,,consisting 02 Toilet 41493 MDTS-41493 04 Item .2 Wire 08 ,
"Bulb Type Split Cotter 1 to Drg. No.- WD-94068-S/1, Item - 1",Bulb Type Split 1 ,Drg No.- WD-94068-,No,,,,,,,Cotter 1 1 1 Item 1 ,
"Bulb Type Split Cotter 2 to Drg. No.- WD-94068-S/1, Item - 2",Bulb Type Split 2 ,Drg No.- WD-94068-,No,,,,,,,Cotter 2 2 1 Item 2 ,
Mounting bracket on inner head stock for IR- DRDO Bio- Logical Toilet tank as per drg. no. CG- 15033. Drawing attached.,Mounting bracket inner head Logical Toilet tank per Drawing attached ,drg CG- 15033 ,Yes,,,,,,,,
"Mounting bracket for Bio- Retention tank. As per drg. no. ICF/SK-3-1-1-178, Col-1,2 and 3. 1 Coach set consists of Col-1-8, Col-2-4 and Col-3-4. Drawing attached.",Mounting Retention tank As Coach set Drawing attached ,drg ICF/SK-3-1-1-178 ,Yes,,,,,,,"per 1 per 2 Col-1,2 3 3 1 consists 1 consists 8 Col-1-8 2 Col-1-8 4 Col-2-4 3 Col-2-4 4 ",
Mounting bracket on outer head stock for IR- DRDO Bio- Logical Toilet tank as per Drg. No. CG- 15032. Drawing attached.,Mounting bracket outer head Logical Toilet tank per Drawing attached ,Drg No CG- 15032 ,Yes,,,,,,,,
"Intermediate Flange with Snap Ring for KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 . AL - 2 Nos./Set, CI - 1 No./Set.",Intermediate Flange Snap Ring KE Design Distributor Valve ,,No,,,,,,,Pt.No.- 181977 No.- 71 AL 2 CI 1 ,
Set pf Spares of Retention Tank. consisting of 02 Two items. Item No.1 Clutch Wire Type mechanism Remain Inside the Toilet MDTS-41493 04 Nos. Per Set Item No.2 Clutch Wire 08 Nos. Per Set ,Set pf Spares Retention Tank Two items Clutch Type mechanism Remain Inside Nos Per Set Clutch Wire Nos Per Set ,,No,,Item No.1 ,,,,,consisting 02 Toilet 41493 MDTS-41493 04 Item .2 Wire 08 ,
LAMINATED SAFETY SMOKE COLOUR GLASS OF SORTS FOR WINDOW. ROUND CORNER RADIUS 71mm R IN FOUR CORNER Annexure Attached ,LAMINATED SAFETY SMOKE COLOUR GLASS OF SORTS FOR WINDOW ROUND CORNER R IN FOUR CORNER Annexure Attached ,,No,,,,,,,RADIUS 71 ,
"Laminated Safety Glass for emergency open able window. As per IS - 2553 part-1 1990 A , quality flat glass smoke colour. Spec.- 1211mm X 542mm X 6mm thickness and Corner radius - 10R.",Laminated Safety Glass emergency open able window As per A quality flat glass smoke X thickness Corner ,,No,,,,,,,IS 2553 2553 1 part-1 1990 Spec.- 1211 X 542 X 6 radius 10 ,
"Catch arrangement for conductor s berth, Drg. No. CC 61297.",Catch arrangement conductor berth ,Drg No CC 61297 ,No,,,,,,,,
"Housing for Centre Pivot for Bogie Bolster to ICF Drg. No. ICF Sk.No.- T-0-4-042, Item - 1, Alt.- h/2 or Similar. Drg.No.- WLRRM-0-4-003/T-9",Housing Centre Pivot Bogie Bolster ICF ,Drg No ICF Sk.No.- T-0-4-042 ,No,,,,,Alt.- h/2 ,,Item 1 Drg.No.- 0 Drg.No.- 4 Drg.No.- 003 Drg.No.- 9 ,
BRACKET FOR SAFETY ROPE. LOCKING PLATE AS PER RDSO DRG. NO. - CG11088 ITEM 2 . MATERIALS - AISI 316. Drg. attached. ,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO MATERIALS Drg attached ,DRG NO CG11088 ,No,,,,,,,ITEM 2 AISI 316 ,
BRACKET FOR SAFETY ROPE. LOCKING PLATE AS PER RDSO DRG. NO. - CG11088 ITEM 2 . MATERIALS - AISI 316. Drg. attached. ,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO MATERIALS Drg attached ,DRG NO CG11088 ,No,,,,,,,ITEM 2 AISI 316 ,
"Intermediate Flange with Snap Ring for KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 and 1.2.290 . AL - 2 Nos./Set, CI - 1 No./Set.",Intermediate Flange Snap Ring KE Design Distributor Valve ,,No,,,,,,,Pt.No.- 181977 No.- 71 71 1.2 71 .290 AL 2 CI 1 ,
Filter at B.P. Inlet of IRS Design PEAV to LLH s Sk.No.- 9/2007.,Inlet IRS Design PEAV ,,No,,,,,,,Sk.No.- 9 Sk.No.- 2007 ,
"Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5.",Handle IRS Isolating Cock Ball Type RDSO ,Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,
Anti Pilferage Device Cover Sheet Assembly Drg. No.- ICF/SK/5-5-024.,Anti Pilferage Device Cover Sheet Assembly ,Drg No.- ICF/SK/5-5-024 ,No,,,,,,,,
FRAME FOR EMERGENCY GLASS FOR NON-AC JANSHATABDI and SIMILAR TYPE OF COACHES. AS PER LLH SK. NO.39/2004. ITEM NO.7,FRAME EMERGENCY GLASS FOR JANSHATABDI SIMILAR TYPE OF COACHES AS PER LLH ,,No,,ITEM NO.7 ,,SK NO.39/2004 ,,,,
"WEARING PLATE SIZE:2MM X 45MM X 55MM.DRG,NO,-SCN6-6-1-606,ALT-X/NIL.ITEM NO-22,MATERIAL-AISI-304.",WEARING X PLATE SIZE:2MM X 45MM X ,DRG NO -SCN6-6-1-606 ,No,,ITEM NO-22 ,,,,,PLATE 2 X 45 X 55 PLATE 2 X 45 X 55 X 304 ,
"NYLON 66 BUSH FOR EQUALISING STAY 16.25T TO DRG.NO.RDSO SK-88105,ITEM NO.5,ALT NO.3 THREE .",BUSH FOR EQUALISING TO THREE ,DRG.NO.RDSO SK-88105 ,No,,ITEM NO.5 ,,,ALT NO.3 ,,NYLON 66 STAY 16.25 ,
"HOSE CONNECTION 3/4 INCH ID 20 MM X 550 MM LENGTH TO RDSO SKETCH NO. K - 1054 FOR AIR SPRING CONNECTION OF DURANTO EXP. THE HOSE MUST CONFIRM TO SAE 100 R3. END FITTING MATERIAL - EN- IA, ADOPTER LOW CARBON STEEL. MAKE - GATES / PARKER Drg. attached ",HOSE INCH MM MM LENGTH TO RDSO SKETCH NO FOR AIR SPRING CONNECTION OF DURANTO EXP THE HOSE MUST CONFIRM TO END FITTING IA ADOPTER LOW CARBON STEEL MAKE GATES PARKER ,Drg attached ,No,,,,,,,CONNECTION 3 CONNECTION 4 ID 20 X 550 K 1054 SAE 100 100 3 ,
Over hauling kit for relay valve of M/s. SIL make C3W/REL-10 distributor valve consisting of 27 Twenty seven items as per annexure attached.,Over hauling kit relay SIL distributor valve Twenty seven items per annexure attached ,,No,,,,,,,make 3 make 10 consisting 27 ,
Frosted Glass for RA/FC. Non-AC Coaches Size: 920 x 500 x 5 mm. As per drg. No. T-5-5-636,Frosted Coaches x As per ,drg No T-5-5-636 ,No,,,,,,,Size 920 x 500 x 5 ,
"Intermediate Flange with Snap Ring for KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 and 1.2.290 . AL - 2 Nos./Set, CI - 1 No./Set.",Intermediate Flange Snap Ring KE Design Distributor Valve ,,No,,,,,,,Pt.No.- 181977 No.- 71 71 1.2 71 .290 AL 2 CI 1 ,
"Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5.",Handle IRS Isolating Cock Ball Type RDSO ,Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,
Back Rest Lock in side wall as per Drg. No.- ICF/SK 3-6-1-046.,Back Rest Lock side wall per ,Drg No.- ICF/SK 3-6-1-046 ,No,,,,,,,,
"HEAD STOCK BEAM INNER REF: DRG.NO.: LLH-20/89, ITEM-1, ALT-NIL,.",HEAD STOCK BEAM INNER ,DRG.NO LLH-20/89 ,No,,,,,ALT-NIL ,,REF 1 ,
"Dropout delay time relay ARS time VS 24- 240v, Antiskid 0.5 sec to 10min, 7 Time ranges as per GE CAT No. 243012001/ ABB CAT No. ARS- 21. Tele machanics Model No. RE7RB11 MW.",Dropout delay time relay ARS time Time ranges per GE CAT ABB CAT No Tele machanics Model No MW ,,No,,,,skid 0.5 ,,,VS 24 24- 240 Antisec 10 10min 7 No 243012001 ARS- 21 No 7 No 11 ,
Modified Catch for Securing B.C.B.R. as per LLH s Sk.No.- 04/2002.,Modified Catch per ,,No,,,,,,,Sk.No.- 04 Sk.No.- 2002 ,
Coller bearing part Number-73010051 Make- Electrolux professional or similar.,Coller bearing Electrolux professional similar ,,No,,,,,,,part 73010051 ,
"HEAD STOCK COMPLETE AS PER ICF DRG. NO. ICF/STD-1-2-001 Alt-K/5 OF COL-III MANUFACTURER SHALL FULFIL REQUIREMENTS AS PER ICF SPEC. ICF/MD/SPEC-147, REV-2 WITH AMND SLIP NO.- 1 OF FEB 2007",HEAD STOCK COMPLETE AS PER ICF MANUFACTURER SHALL FULFIL REQUIREMENTS AS PER ICF WITH AMND OF ,DRG NO ICF/STD-1-2-001 ,No,,,,,Alt-K/5 ,REV-2 ,SPEC 147 NO.- 1 FEB 2007 ,
"TEE WITH FLANGE 25X25X20 mm RDSO/SK-96074 ALT.-1 MATERIAL STAINLESS STEEL TO IS: 6911-1992X04 Cr.19 Ni9 304 SI., QTY. IN NUMBER.",TEE WITH STAINLESS STEEL TO ,,No,,,,SK-96074 ,ALT.-1 ,,FLANGE 25 FLANGE 25 FLANGE 20 IS 6911 IS 1992 IS 04 6911-1992X04 .19 Cr.19 9 Ni9 304 ,QTY IN NUMBER 
COVER SHEET,COVER SHEET ,,No,,,,,,,,
"ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-038 COL-VI LATEST EQUAL TO 1 SET.",ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,
"COVER SHEET, DRG. NO.-LB10322 ALT NIL",COVER SHEET ,DRG NO.-LB10322 ,No,,,,,ALT NIL ,,,
