SPEC_NUMBER,SK_NUMBER,AMENDMENT_NO,DRG._NUMBER,QUANTITY,ITEM_NUMBER,ALT_NUMBER,REV_NUMBER,DRAWING_ATTACHED,OTHER_SPECIFICATION,REST_DATA
,SK-3-1-1-178 ,,drg ICF/SK-3-1-1-178,,,,,Yes,"per 1 per 2 Col-1,2 3 3 1 consists 1 consists 8 Col-1-8 2 Col-1-8 4 Col-2-4 3 Col-2-4 4 ",Mounting Retention tank As Coach set Drawing attached 
,,,Drg No CG- 15032 ,,,,,Yes,,Mounting bracket outer head Logical Toilet tank per Drawing attached 
,,,,,,,,No,Pt.No.- 181977 No.- 71 AL 2 CI 1 ,Intermediate Flange Snap Ring KE Design Distributor Valve 
,,,,,Item No.1 ,,,No,consisting 02 Toilet 41493 MDTS-41493 04 Item .2 Wire 08 ,Set pf Spares Retention Tank Two items Clutch Type mechanism Remain Inside Nos Per Set Clutch Wire Nos Per Set 
,,,,,,,,No,RADIUS 71 ,LAMINATED SAFETY SMOKE COLOUR GLASS OF SORTS FOR WINDOW ROUND CORNER R IN FOUR CORNER Annexure Attached 
,,,,,,,,No,IS 2553 2553 1 part-1 1990 Spec.- 1211 X 542 X 6 radius 10 ,Laminated Safety Glass emergency open able window As per A quality flat glass smoke X thickness Corner 
,,,Drg No CC 61297 ,,,,,No,,Catch arrangement conductor berth 
,Sk.No.- T-0-4-042 ,,Drg No ICF Sk.No.-,,,Alt.- h/2 ,,No,ICF 0 ICF 4 ICF 042 Item 1 Drg.No.- 0 Drg.No.- 4 Drg.No.- 003 Drg.No.- 9 ,Housing Centre Pivot Bogie Bolster 
,,,DRG NO CG11088 ,,,,,No,ITEM 2 AISI 316 ,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO MATERIALS Drg attached 
,,,DRG NO CG11088 ,,,,,No,ITEM 2 AISI 316 ,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO MATERIALS Drg attached 
,,,,,,,,No,Pt.No.- 181977 No.- 71 71 1.2 71 .290 AL 2 CI 1 ,Intermediate Flange Snap Ring KE Design Distributor Valve 
,Sk.No.- 9/2007 ,,,,,,,No,,Inlet IRS Design PEAV LLH 
,Sk.-97003 ,,Drg No.- Sk.-97003 It,,,Alt.- 5 ,,No,design 20 No.- 9 ,Handle IRS Isolating Cock Ball Type RDSO 
,SK/5-5-024 ,,Drg No.- ICF/,,,,,No,Assembly 5 Assembly 5 Assembly 024 ,Anti Pilferage Device Cover Sheet 
,SK NO.39/2004 ,,,,ITEM NO.7 ,,,No,,FRAME EMERGENCY GLASS FOR JANSHATABDI SIMILAR TYPE OF COACHES AS PER LLH 
,,,DRG NO -SCN6-6-1-606 ,,ITEM NO-22 ,ALT-X/NIL.MATERIAL-AISI-304 ,,No,PLATE 2 X 45 X 55 ,WEARING X 
,SK-88105 ,,DRG.NO.RDSO SK-88105 I,,,ALT NO.3 ,,No,NYLON 66 STAY 16.25 TEM .5 ,BUSH FOR EQUALISING TO THREE 
,SKETCH NO K 1054 ,,AKE GATES PAR,,,,,No,CONNECTION 3 CONNECTION 4 ID 20 X 550 K 1054 SAE 100 100 3 ,HOSE INCH MM MM LENGTH TO RDSO SKETCH NO FOR AIR SPRING CONNECTION OF DURANTO EXP THE HOSE MUST CONFIRM TO END FITTING IA ADOPTER LOW CARBON STEEL MKER Drg attached 
,,,,,,,,No,make 3 make 10 consisting 27 ,Over hauling kit relay SIL distributor valve Twenty seven items per annexure attached 
,,,drg No T-5-5-636 ,,,,,No,Size 920 x 500 x 5 ,Frosted Coaches x As per 
,,,,,,,,No,Pt.No.- 181977 No.- 71 71 1.2 71 .290 AL 2 CI 1 ,Intermediate Flange Snap Ring KE Design Distributor Valve 
,Sk.-97003 ,,Drg No.- Sk.-97003 It,,,Alt.- 5 ,,No,design 20 No.- 9 ,Handle IRS Isolating Cock Ball Type RDSO 
,SK 3-6-1-046 ,,Drg No.- ICF/,,,,,No,SK 3 SK 6 SK 1 SK 046 ,Back Rest Lock side wall per 
,,,DRG.NO LLH-20/89 ,,,ALT-NIL ,,No,REF 1 ,HEAD STOCK BEAM INNER 
,skid 0.5 ,,,,,,,No,VS 24 24- 240 Antisec 10 10min 7 No 243012001 ARS- 21 No 7 No 11 ,Dropout delay time relay ARS time Time ranges per GE CAT ABB CAT No Tele machanics Model No MW 
,Sk.No.- 04/2002 ,,,,,,,No,,Modified Catch per LLH 
,,,,,,,,No,part 73010051 ,Coller bearing Electrolux professional similar 
,,,DRG NO ICF/STD-1-2-001 ,,,Alt-K/5 ,REV-2 ,No,SPEC 147 NO.- 1 FEB 2007 ,HEAD STOCK COMPLETE AS PER ICF MANUFACTURER SHALL FULFIL REQUIREMENTS AS PER ICF WITH AMND OF 
,SK-96074 ,,,QTY IN NUMBER ,,ALT.-1 ,,No,FLANGE 25 FLANGE 25 FLANGE 20 IS 6911 IS 1992 IS 04 6911-1992X04 .19 Cr.19 9 Ni9 304 ,TEE WITH STAINLESS STEEL TO 
,,,,,,,,No,,COVER SHEET 
SPECN ICF/MD/SPECN-253 ,SK3-6-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,,,DRG NO.-LB10322 ,,,ALT NIL ,,No,,COVER SHEET 
,,,DRG.140-8-3-011 ,,,,REV.00 1 ,No,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I 
,,,DRG NO CA03100 ,,,ALT B ,,No,TYPE 16 ,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SG WITH BMBC 
,,,DRG NO CA04100 ,,,ALT b ,,No,,BOGIE BOLSTER ARRANGEMENT AC AIR SPRING BOGIE 
,,,DRG NO CA03105 ,,,ALT C ,,No,FOR 13 ,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
,,,DRG NO.- LW56429 ,,,ALT ,,No,,DOOR HANDLE 
,,,DRG NO CA03100 ,,,ALT b ,,No,TYPE 16 ,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SG WITH BMBC 
,,,DRG NO CA03105 ,,,ALT C ,,No,FOR 13 ,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
,,,DRG.140-8-3-011 ,,,,REV.00 1 ,No,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I 
,,,DRG.140-8-3-011 ,,,,REV.00 1 ,No,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I 
,,,DRG NO.-LW 61230 ,,,ALT- ,,No,,SAFETY RAIL 
,,,DRG NO CA03105 ,,,ALT C ,,No,FOR 13 ,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
,,,DRG NO G/SD3-693.,,,,,Yes,,CHUTE COMPLETE FOR WASH BASIN OUTLET DRAWING ATTACHED IN DOCUMENT FILE 
,,,DRG NO 1356176 ,,,,,Yes,,LOCKING PLATE FOR LHB WHEEL SECURITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
,,,DRG NO MI005986 ,,,ALT b OR LATEST ,,No,GRADE-AISI 316 ,OPENING MECHANISM BALL VALVE FOR RETENTION 
SPECN ICF/MD/SPECN-253 ,SK 3-6-4-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF 
SPECN ICF/MD/SPECN-253 ,SK 3-6-4-039 ,,DRG ICF/STD-8-3-011 ,,,,REV LATEST CONSISTS OF 1 ,No,,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF 
,,,DRG NO CA03105 ,,,ALT C ,,No,FOR 13 ,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
,SK-96074 ,,,QTY IN NOS RDSO/ALT 1 ,,,,No,FLANGE 20 FLANGE 20 FLANGE 20 TO 6911 TO 1992 TO 04 Cr 19 Ni 9304 ,TEE WITH MATERIAL STAINLESS STEEL SI 
SPECN ICF/MD/SPECN-253 ,SK3-6-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,SK-96074 ,,,QTY IN NOS RDSO/ALT-1 ,,,,No,FLANGE 20 FLANGE 20 FLANGE 20 IS 6911 IS 1992 IS 04 Cr 19 Ni 9304 ,TEE WITH MATERIAL STAINLESS STTEL TO SI 
,,,,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,,,No,,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE ,,Yes,NO.- 10319 ,COVER SHEET 
,,,,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,,,No,,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,DRG NO CG-15032 ,,,,,No,,BRACKETFOR OUTER HEAD STOCK TO 
,,,DRG NO CG-15033 ,,,,,No,,MOUNTING BRACKET FOR INNER HEAD STOCK TO 
,,,DRG NO 1356176 ,,,,,Yes,,LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
,,,,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,DRG NO.- LW56429 ,,,ALT ,,No,,DOOR HANDLE 
,,,DRG NO.-LW 61230 ,,,ALT- ,,No,,SAFETY RAIL 
SPECN ICF/MD/SPECN-253 ,SK 3-6-4-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF 
SPECN ICF/MD/SPECN-253 ,SK 3-6-4-039 ,,DRG ICF/STD-8-3-011 ,,,,REV LATEST CONSISTS OF 1 ,No,,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF 
,,,,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE ,,Yes,NO.- 10319 ,COVER SHEET 
,,,DRG NO 1356176 ,,,,,Yes,,LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
,,,DRG NO WGSCWAC-6-4-027 ,,,,,No,,MAGZINE BAG BROWN 
,,,DRG.NO G/SD 3-460 ,,,,,Yes,,MUG STAND STAINLESS STEEL TEST PIECE REQUIRED ALONG WITH BULK SUPPLY DRAWING COPY ATTACHED IN DOCUMENT FILE 
,,,DRG NO-LW 61230 ,,,ALT ,,No,,SAFETY RAIL 
,SK-96074 ,,,QTY IN NOS RDSO/ALT-1 ,,,,No,FLANGE 20 FLANGE 20 FLANGE 20 IS 6911 IS 1992 IS 04 Cr 19 Ni 9304 ,TEE WITH MATERIAL STAINLESS STTEL TO SI 
SPECN ICF/MD/SPECN-253 ,SK3-6-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,,,Drg No G/SD3-693 ,,,,,No,,Chute Complete Wash Basin Outlet 
SPECN ICF/MD/SPECN-253 ,SK3-6-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,,,DRG NO LB10321 ,,,ALT NIL ,,No,,COVER SHEET 
,,,DRG NO CG-15036 ,,,,,No,"ITEM 3 ITEM 4 ITEM 5 3,4,5 6 ",BRACKET FOR MOUNTING 
,,,DRG NO CG-15036 ,,,,,No,"ITEM 3 ITEM 4 ITEM 5 3,4,5 6 ",BRACKET FOR MOUNTING 
,,,DRG NO CG-15032 ,,,,,No,,MOUNTING BRACKET FOR OUTER HEAD STOCK TO 
,,,DRG NO CG-15036 ,,,,,No,ITEM 3 ITEM 4 ITEM 5 AND 6 ,BRACKET FOR MOUNTING TO 
,,,DRG NO CG-15033 ,,,,,No,,MOUNTING BRACKET FOR INNER HEAD STOCK TO 
,,,DRG.NO G/SD 3-460 ,,,,,Yes,,MUG STAND STAINLESS STEEL DRAWING COPY ATTACHED IN DOCUMENT FILE 
,SK-722 ,,,,,,,No,,COMPRESSION SPRING 
SPECN ICF/MD/SPECN-253 ,SK3-6-039 ,,DRG ICF/STD-8-3-011 ,,,,,No,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,,,Drg MI005568 ,,,,,No,,Outlet Slide Valve per Amit Vibhu Aikon 
,,,,,,,,No,size- 5 x 5 ,Inside Coach No Display Plate made 5 Sample approved consignee supply Detail per Annexure A 
,,,,,,,,No,Size- 48 48 6 x6 2325 Size 48 48 18 x18 145 ,A Set Bi Lingual Vinyl Sticker Destination Nos Multilingual Vinyl Sticker Valley Board 48 Pasting good adhesive quality coaches boards Detail per Annexure 
,,,,,,,,No,thread 10 containing 80 containing 85 threads .0 threads .6 ,Heavy Duty Elastic wire rope Elastic dia inner 
,,,Drg MI005569 ,,,,,No,,Flapper Valve Assembly Asper 
,Sketch coaching maintenance manual- Ref Stone india ltd. Drg no.59.91.0201 ,,,,,,,Yes,type 2 DRV2 450 DRV2 600 drawing 2 2KB 6952 ,SAB slack adjuster Barrel test Bench suitable testing SAB Ref Escort limited India similar 
,,,,,,,,Yes,Container 250 Made 3 ,Liquid Soap ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Thick Hard Plastic per Drawing attached 
,,,,,,,,No,spindle 20 ,Pillar Drill Machine V Belt driven single drilling capacity 
,,,,,,,,No,jack 30 extension 100 Height 270 Height 285 lift 150 lift 200 Height 420 Height 485 dia 75 size 200 size 200 dia 146 dia 160 ,Bottle ton capacity screw safety lock nut pump closed Hydraulic Total extended Height RAM approx Base body dia 
,,,,,,,,No,specification 36 L 24 W 12 handle 15 body 2 2 24 made 40 made 40 made 6 T 2 angle 2 made 35 made 35 made 5 ,Hand Trolley double wheel barrow As per deep deep opposite sheet dia section wheels M.S T 2 handle made MS 2 M.S legs made MS angle 
,,,,,,,,No,features 1 position 1 charge 2 releasing 3 application 2 presure 0 0 10 10 2 kg/cm2 3 . 4 gauge 0 0 10 size 3 size 8 CR 5 coach 6 ,Single Coach Test rig SCTR As per specification Single test Rig utilized testing twin graduated release air brake coaches following single coach test rig consisting automatic brake valve three positons viz charging full service reservoir pressure reducing valves pressure gauges measuring brake pipe feed pipe feed pipe connection air supply air compressor provided two coupling heads one brake pipe feed pipe three extra pressure 0 10 sq flexible hose provided standerd accossories check pressure AR BC Hose assembly suitable length brake pipe feed pipe provided dummy couplings reach hose coupling coach mounted trolley provision two caster wheels one rest stabling enable easy shifting loacation fitted handle . Note AMC Required 
,,,Drg CC 56437 ,,,,,No,,Indication single leaf lavatory door LHB coaches RCF 
,,,,,,,,No,Size- 19 Size- 5 ,Flat Head Aluminium 
,,,,,,,,No,Compressor 044216 Compressor 37 KW 440 V 60 IEC/EN 60947 IEC/EN 1 LC 1 D 80 ,Contactor SULLAIR Model Schneider equilent Model BCH Siemens Havels L T 
,,,,,,,,No,part 1 part 600006 ,MV Board CARD To FTIL FAIVELEY 
,,,,,,,,No,Board 03 Part 25089 ,Circuit KBI WSP LHB Double Decker Shatabdi 
,,,,,,,,No,G 16 Part .1135456 Part 20013 ,Speed Sensor KBI LHB Double Decker Shatabdi Bremse 
,,,,,,,,No,Specifications 250 B 200 . 690 V 8 V 415 KA 25 -25 100 percent 50 percent 60 Hz.Cat.A 40 C 60947 C 2 IEC-60947-2 60947 IEC-60947-2 2 timer 1600 ,MCCB Atlas air Compressor stabilizer use KV Ue V ICU terminal A Schneider electric Siemens Similar 
,,,,,,,,No,Board 1 No 25799 No 01 ,Circuit KBI Part WSP LHB Double decker Shatabdi 
,,,,,,,,No,Phase 220 Phase 240 Volt 50 Sweep 450 Watts- 360 Amp 1.7 E 18 18 1400 ,Exhaust Fan Single Hz AC RPM Air Compressure Drier Havels Crompton Marathon 
,SK-005 ,,,,,,,Yes,Size 180 Size 100 180/100 304 ,SS Reducer Bio digester Western Commode Drawing 
,,,,,,,,No,tufit 1 tufit 2 Capacity- 10 10 2 Kg/Cm2 15 Plug 15 ,Female thread QRC Check fitted Male thread QRC without Check valve Plug 15 Socket Legric Parker 
,,,,,,,,No,color 8 size-ID-8mm 12 OD-12mm 20 long 1 long 2 Pressure- 10 Kg 2 ,Recoiled Hose Polyurethane Tube blue Mtr BSP BSP Swivel nut Crimped side end Legric Parker Tufit 
,SK-005 ,,,,,,,Yes,Size 180 Size 100 180/100 304 ,SS Reducer Bio digester Western Commode Drawing 
