ZONECODE,ITEM_CODE,DESCRIPTION,ITEM_SPECIFICATION
8,30010111,"SAFETY STRAP FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRAWING NO. T - 0 - 1 - 631, ALT. K/4, MATL. & SPECN. IS : 2062/2011, E-250 - A.",
11,30010111,STRAP SAFETY FOR COACHES,
24,30010111,BOLSTER SPRING (OUTER) FOR VP COACHES as per SKETCH 98018 ITEM 1,
24,30010123,BOLSTER SPRING (INNER) FOR VP COACHES as per SKETCH-98018 ITEM-2,
13,30010159,"""TOP SPRING SEAT FOR AXLE BOX GUIDE ARRANGMENT TO ICF DRG.NO.T-0-1-608 ALT l / 11 (SMALL L ) ITEM NO.2 MATERIAL AND SPECIFICATION AS PER DRG.",
9,30010159,"""TOP SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT TO ICF DRG.NO.T-0-1-608 Alt. l/11.",T/0/1/608
7,30010172,"PACKING RING 13mm THICK TO RDSO DRG. NO.SK-97072, ITEM-1, ALT:NIL.",
8,30010240,"LOWER SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRG. NO. DL - 0 - 1 -  103, ALT.y/14, IT. 1 & 2, MATL. SPECN. AS PER DRAWING.",
11,30010240,"LOWER SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT, TO DRAWING/SPECIFICATION ICFS DRG.NO.DL-0-1-103. ALT NO.Y/14, ITEM 1,2 IN ASSEMBLED CONDITION",
6,30010275,"CIRCLIP A-115 FOR MODIFIED AXLE BOX GUIDE ARRANGEMENT TO  DRG NO.ICF/SK-0-1-182, ITEM-3, ALT-e/NIL.",
7,30010317,"PACKING RING 26mm THICK TO RDSO DRG. NO.SK-97072, ITEM-3, ALT-NIL.",
8,30010330,"HELICAL SPRING FOR CENTRELESS GROUND TO ICF'S DRG. NO. F - 0 - 1 - 006, ALT. A/10, MATL. & SPECN. IS : 3195/92 (3RD REV.0 WITH AMEND. NO.2, GR. 52, CR4, MO 2V AND RDSO'S SPECN. NO. WD - 01 - HLS - 94, REV. 2/04 AMEND.NO. 4 0OF JUNE'05",
11,30010330,SPRING HELICAL FOR A/B ICF COA,
8,30010342,"DUST SHIELD FOR AXLE BOX GUIDE ARRANGEMENT TO ICF'S DRG. NO. T - 0 - 1 - 619, ALT. I/13, MATL. SPECN. IRS - M - 41/97, AMENDMENT NO.2.",
13,30010342,Helical Spring of high capacity power car to drg. no.WLRRM-0-1-802 alt. j/3. Material and specification as per drg.,IS:3195-82 Gr.50 or GV2
11,30010342,SHIELD DUST AXLE BOX,
2,30010354,"HELICAL SPRING CENTRELESS GROUND TO ICF'S DRG. NO.F-0-1-006, ALT.NO.C/10 OR LATEST AND RDSO'S SPECN. NO.WD-01-HLS-94(REV-3)OF JANUARY 2009 OR LATEST.",
13,30010354,HELICAL SPRING FOR AXLE BOX  (NAC)TO ICF DRG:NO.F-0-1-006 ALT-C/10 MATERIAL & SPEC AS PER  SPEC. NO. WD-01-HLS-94 REV.-3,
1,30010354,HELICAL SPRING (CENTER LESS GROUND)ICF DRG. NO.F.0.1.006.ALT.NO.B/10.(FOR AXLE GUIDE ARRANGEMENT).,
9,30010354,AXLE BOX HELICAL SPRING FOR NON AC COACH TO ICF DRG:NO:F-01-006 ALT.C/10 & CONFIRMING TO RDSO SPECIFICATION NO.WD-01-HLS-1994 [REV.3 OF JAN.09.][RSK DRG.CODE.NO.A01],F 01006 ALT.C/10.
99,30010354,"HELICAL SPRING CENTRELESS GROUND TO ICF'S DRG. NO.F-0-1-006, ALT.NO.C/10 OR LATEST AND RDSO'S SPECN. NO.WD-01-HLS-94(REV-3)OF JANUARY 2009 OR LATEST.",
12,30010354,HELICAL SPRING CENTRELESS GROUND FOR 13 TON AXLE BOX ARRANGEMENT DRG NO F-0.1.006 ALT x/10 & C.RLY ALT 'b' OR LATEST,
3,30010354,"HELICAL SPRING ( CENTRELESS GROUND )  DRAWING NO. F-0-1-006 Alt. ( C )  & ( 10 )   Specification: WD-01-HLS-94, (Rev-3)",
4,30010354,HELICAL SPRING CENTERLESS GROUND TO ICF,AS PER DRG
7,30010354,"HELICAL SPRING (CENTRELESS GROUND)   FOR AXLE BOX GUIDE ARRANGEMENT CONFIRMING TO RDSO SPECN. NO. WD-01-HLS-94. (REV-3) OFJanuary 2009  TO ICF DRG. NO. F-0-1-006, ALT. B/10.",
5,30010354,"Spring Helical Axle Box / BG-NAC,","Specification No:I S-3195, Gr-52, Cr.4 Mo 2V & RDSO Spec No-WD-01-HLS-94(Rev-3)"
6,30010354,HELICAL SPRING FOR AXLE BOX OTHER THAN AC COACHES Drg.No.SR SK-NO.C&W-3767 ALT-3 Spec.No.WD-01-HLS-94 (REV.3) JAN.'09.WITH AMDT.NO.1 OF SEP.16,
10,30010354,HELICAL SPRING CEULRELESS GR-1,
15,30010354,HELICAL SPRING(NON-AC) FOR AXLE BOX TO DRG.NO.F-0-1-006 ALT.C/10  RDSO SPECIFICATION NO.WD-01-HLS-94.REV.2 OF FEB.2004.AMENDMENT-5,
16,30010354,HELICAL SPRING (CENTERLESS GROUND FOR 13 TON) FOR AXLE BOX ARRANGEMENT (FOR  NON AC COACHES),
13,30010366,Tag for Helical Spring to Drg. No. SKT/2009/103/C with alt. 1. Material and specification as per drg.,
4,30010366,"PROTECTIVE TUBE COMPLETE FOR AXLE BOX GUIDE ARRGT. BG TO ICF DRG. NO. T-0-1-610 ALT. x/13 COL. II, ITEM 1 AND 3. SECIFICATION AS PER DRAWING.",
13,30010391,"COMPENSATING RING FOR AXLE BOX GUIDE ARRANGEMENT AND  BOLSTER SUSPENSION TO ICF DRG NO. T-0-0-602 ALT-k, ITEM NO. 1 MAT. AND SPEC. AS PER DRG.",
8,30010391,"AXLE BOX HOUSING FOR ICF COACHES (FINISH MACHINED). DRG. NO. : ICF'S DRG. T - 0 - 2 - 602, ALT. u/14, IT.2, MATL. & SPECN. RDSO/2007/CG-08 - MARCH'2008.",
11,30010391,"AXLE BOX HOUSING FOR ICF COACHES (FINISH MACHINED) TO ICF DRG. T-0-2-602ALT. NO. S/14, ITEM NO.2",
13,30010408,Compensating Ring for Axle Box Guide arrangement and Bolster Suspension  to Drg. No. T-0-0-602 Alt. k Item No.9. Material and specification as per drg.,
9,30010410,High capacity thermoplastic polyester Elastomer (HYTREL) upper washer for primary suspension to RDSO Drg.No.CG-K-4058 Alt.3 (or latest) conforming to RDSO Specification No. C-K-409(Rev.2) of DEC-08; with amendment  slip No.4 of AUGUST-2016.,IRS CBE - 4516
16,30010410,RUBBER WASHER,
13,30010410,"Hytrel Upper Washer for primary suspension to RDSO Drg. no. CG-K-4058 with Alt.-3, mat. and spec. as per RDSO Specification CK -409 Rev.-2 amendment-3 of sept 2010.",
3,30010421,SPRING CLIP FOR AXLE BOX GUIDE ARRANGEMENT TO ITEM 1 OF ICF DRG NO T-O-1-614 ALT (I) & (10). MAT. & SPECN AS PER DRG.,
4,30010421,SPRING CLIP IRS/C/BE-4521-I -I,
10,30010421,SPRING CLIP IRS/C/BE-4521 -1,
8,30010433,"MODIFIED GUIDE CAP FOR AXLE GUIDE FOR ICF COACHES TO RDSO'S SK. NO. 85070,ALT. 3, ITEM 3 TO 9 IN ASSEMBLED CONDITION, MATL. & SPEC. AS PER DRAWING.",
11,30010433,GUIDE CAP FOR A/BOX,
24,30010445,GUIDE CAP FOR AXLE BOX GUIDE ARRANGEMENT SHOULD PROCURE ALONG WIT as per CC01111 ALT 'w',
2,30010456,Dust Shield Spring for Motor Coaches to ICF Drg.No. T-0-1-012 Alt.g/5 .,
99,30010456,Dust Shield Spring for Motor Coaches to ICF Drg.No. T-0-1-012 Alt.g/5 .,
12,30010457,"DUST SHIELD SPRING FOR AXLE BOX GUIDE ARRANGEMENT AS PER IRS DRG. NO. T-0-1-607, ALT. 15 & j, MATERIAL & SPECIFICATION IS: 4454-81, PART-I , GRADE-3 .",
1,30010457,DUST SHIELD SPRING T-O-,
3,30010457,DUST SHIELD SPRING AS PER  ICF DRG. NO. T - 0 - 1 - 012 ALT. g /5 ALT- 'g /5 '.,
4,30010457,DUST SHIELD SPRING SIZE 4X1954,
8,30010457,"DUST SHIELD SPRING FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRG. NO. T-0-1-607 , ALT. J/15. MATERIAL AND SPECIFICATION : IS:4454(PT. I ) 2001 GR. SM.",
11,30010457,SPRING DUST SHIELD SCH.,
2,30010457,Dust Shield Spring for Motor Coaches to ICF Drg.No. T-0-1-012 Alt.g/5 .,
7,30010457,Dust Shield Spring For Axle Box Guide to ICF DRG. No.T-0-1-012. alt: h/5.,
99,30010457,Dust Shield Spring for Motor Coaches to ICF Drg.No. T-0-1-012 Alt.g/5 .,
10,30010457,DUST SHIELD SPRING          -I,
16,30010457,DUST SHIELD SPRING T-O-,
15,30010457,ICF COACHES,
24,30010457,DUST SHIELD SPRING as per T-0-1-012 ALT g  ITEM  1,
2,30010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT TO RDSO'S SK-84102, ITEM NO.- 2 (TWO), ALT. NO.-5 (FIVE) OR LATEST AND RDSO'S STR NO. C-8215 (REV-II) WITH AMENDMENT SLIP NO.1 OF APRIL, 1992 OR LATEST.",
12,30010470,ACETAL GUIDE RING FOR BG COACHES TO RDSO TO RDSO  DRAWING NO-SK 91025 ALT. 3. MATERIAL SPECIFICATION IS AS PER DRG.,
9,30010470,"ACETAL GUIDE RING FOR B.G.COACHES TO RDSO  DRG NO.SK-91025 ALT.-3.CONFORMING TO RDSO. SPECN.C-8215 Rev.2,AMENDMENT SLIP NO.1 SLIP NO.1 OF APRIL -1992.",T 01014
99,30010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT TO RDSO'S SK-84102, ITEM NO.- 2 (TWO), ALT. NO.-5 (FIVE) OR LATEST AND RDSO'S STR NO. C-8215 (REV-II) WITH AMENDMENT SLIP NO.1 OF APRIL, 1992 OR LATEST.",
4,30010470,"GUIDE RING  FOR AXLE BOX GUIDE ARRANGEMENT TO RDSO DRG. NO.SK-84102 ALT. 5, ITEM-2 AND RDSO SPEC. NO. C-8215 REV. 2 WITH AMENDMENT 1.",
8,30010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. S.E. RLY'S DRG. NO. GRC/C - 267, STEP A, ALT. NIL, MATL. & SPECN. RDSO'S STR NO. C - 8215 (REV.II)/1991.",
7,30010470,"ACETAL GUIDE RING FOR BG COACHES AND CONFIRMING TO RDSO SPECN.NO.C-8215, REV.II, Amend-1 TO RDSO DRG NO. RDSO/SK-91025, ALT.3.",
5,30010470,"Guide  Ring  (Acetal Homopolymar) BG-ICF  for Axle Box Guide Arrangement,","Material  specification :  Acetal Homopolymar, C-8215(Rev-2)"
10,30010470,"Guide ring for axle box guide arrangement for ICF[BG] Spec. C-8215, Rev. 2, Amd. 1, SK- 84102, it. 2, Alt.- 05.",
16,30010470,ACETAL GUIDE RING FOR BG COACHES TO DRG. NO.-,
15,30010470,Acetal Guide Ring for axle box guide arrangement to ICF drg no T-0-1-640 alt b/2 RDSO Specn C-8215 Rev II amdt1.,
11,30010470,WASHER SEALING AXLE BOX GUIDE,
15,30010471,ICF COACHES,
2,30010482,"HELICAL SPRING FOR AXLE BOX (HIGH CAPACITY PARCEL VAN) TO RDSO's SK-98017, ALT NO.-1(ONE) OR LATEST AND RDSO'S SPEC. NO. WD-01-HLS-94(REV.-3) OF JANUARY,2009 OR LATEST.",
5,30010482,Helical spring for Axle Box ( for high  capacity parcel  van ),Mat.Spec. No: WD-HLS-94(Rev-1-May-95) or latest
7,30010482,HELICAL SPRING FOR AXLE BOX ( FOR HIGH CAPACITY PARCEL VAN) AND CONFIRMING TO RDSO SPEC. WD-01-HLS-94.( REV .3) of January 2009 to  RDSO/SK - 98017 ITEM - 1 alt 1,
9,30010482,Axle box helical spring for high capacity Parcel Van as per RDSO drg.no.SK-98017 ALT-1  & conforming to RDSO specn.  WD-01-HLS-94 (REV-3) OF JAN-2009(RSK code No.A10),SK-98017 ALT-1
99,30010482,"HELICAL SPRING FOR AXLE BOX (HIGH CAPACITY PARCEL VAN) TO RDSO's SK-98017, ALT NO.-1(ONE) OR LATEST AND RDSO'S SPEC. NO. WD-01-HLS-94(REV.-3) OF JANUARY,2009 OR LATEST.",
3,30010482,HELICAL Spring for Axle Box Drg N0 RDSO/SK-No-98017,
15,30010482,"Helical spring for axle box (For high capacity parcel van) to RDSO SK. No.98017, RSK code A-10",
2,30010494,BOLSTER SPRING FOR HIGH CAP.P,
5,30010494,"Bolster  Spring (Outer), for VPH,",Mat.Specn.WD-01-HLS-94 (Rev-3]
7,30010494,"BOLSTER SPRINGS (OUTER & INNER) FOR HIGH CAPACITY PARCEL VAN AND CONFIRMING TO RDSO SPEC. NO: WD-01-HLS-94.(REV-2) of FEB 2004 AMENDMENT NO.5 OF FEBRUARY 06 to RDSO DRG NO: RDSO/SK-98018, ITEMS - 1 & 2, ALT: NIL.",
9,30010494,"Bolster outer helical spring  for high capacity  parcel van to RDSO drg.No.SK-98018, ALT 1    Item No.1 &  conforming to RDSO specn WD-01-HLS-94(REV-3)OF JAN-2009. (RSK CODE NO.B 15)",ITEM-1 SK.98018
99,30010494,BOLSTER SPRING FOR HIGH CAP.P,
12,30010494,Bracket for Lower spring beam 16 T{LH}.,
6,30010494,"BOLSTER SPRING OUTER FOR HIGH CAPACITY PARCEL VAN (CODE B-15) RDSO SK-98018,  ALT.1  SPECN.WD-01-HLS-94, (REV.3) JAN.09.WITH ANDT.NO.1 OF SEP.16.",
3,30010494,Bolster Spring (outer) for High Capacity Parcal Van Drg No RDSO -98018 alt (1)item -1Spcen No RD %u2013o1-HLS-94 (Rev-3),
15,30010494,"Bolster coil spring outer (High capacity parcel Van/ HCPV) SK-98018 [O] spring code B-15"".",
16,30010494,Bracket for Lower Spring Beam 16 T (LH),
9,30010500,Dust sealing RING.,T-01-015
5,30010500,"Helical  spring  for Axle  Box  for  VPH ,",RDSO Specification No: WD-01-HLS-94 (Rev-3]
15,30010500,Spring Kit for C3W distributor valve consisting of 14 items to specification 02-ABR-02 Appendix A-1.(as per enclosure).,
8,30010512,"RUBBER PACKING RING FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRG. NO. T - 0 - 1 - 632, ALT. d/7, MATL. & SPECN. : IRS - R - 47,  1972 WITH CORRIGENDUM NO. 3/84.",
5,30010512,"Helical spring for Axle Box (for high capacity parcel van ),","as per RDSO drg. No: Sketch-98017,alt-1 or latest. Material specification :WD-01-HLS-94 (Rev-1,May'95) or latest."
12,30010512,Bracket for Lower spring beam 16 T{RH}.,
3,30010512,"BUFFING SPRING PARTING PLATE. Drg No :- RDSO/SK-K3008, alt [nil]",
15,30010512,"Buffing spring parting plate to IRS Drg. No. W/BD-2261, alt-1.",
11,30010512,RING PACKING AXLE BOX,
16,30010512,Bracket for Lower Spring Beam 16 T(RH),
13,30010512,Buffing Spring Parting Plate diameter 178 x diameter 41 x 5 mm to drawing no.SK-K 3008 with Alt. 1. Material and specification as per drawing.,"IS 1079-94 , Gr- C.Galvanised"
2,30010524,SAFETY STRAP L TYPE,
99,30010524,SAFETY STRAP L TYPE,
3,30010536,SAFETY SHACKLE,
2,30010548,"COMPENSATING RING SIZE: 4 X DIA.172/DIA.248 TO DRG. No. ICF/SK-0-0-042, ITEM NO.1, ALT. NO.'f/3' OR LATEST.",
7,30010548,"COMPENSATING RING [6mm THICK X OSD 245 X ISD 178mm] FOR AXLE BOX SPRING TO SCR DRG NO:SCR/C AND W/SK-1112, ALT: nil.",
