DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
,,,,,,,,SET OF SEALED WINDOW GLASS UNIT FOR OBSERVATION ROOM CONSISTING OF 02 TWO ITEMS AS PER ANNEXURE ATTACHED 
Drg No.- Sk.-97003 ,Alt.- 5 ,,Item No.- 9 ,,,,,Handle IRS design 20 Isolating Cock Ball Type RDSO 
Drg No.- Sk.-97003 ,Alt.-5 ,,,,,,,SPINDLE IRS Design 20 Isolating Cock Ball Type RDSO Item-6 
,,,,,,,,Kit Bath Room Fittings RA Type Saloon Car Consisting 04 Four Items 1 Set consisting items 1 One No per annexure attached 
DRG.NO.-M1006365 ,ALT NO.-NIL AND RDSO S NO ,SPECN C-K513 ,,AMENDMENTS [ LAST AMENDMENT SLIP NO 5 ,,,REV-0 ,ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF 
DRG NO.CG-15033 ,,,,,,,,MOUNTING BRACKET ON INNER HEAD STOCK FOR IR-DRDO BIOLOGICAL TOILET TANK.AS PER 
Drg No.- WFC-5-4-001 ,,,Item No.- 18 ,,,,,Glass Shutter per 
Drg No.- WFC-5-4-001 ,,,Item No.- 17 ,,,,,Louver Shutter net per 
,,,,,,,,Modified Hydraulic door closer Size- 250x80x80 Material Aluminium Make model No Godrej c071 Stanley SGDC505 Quba QDC 40 
,,,,,,,,Sampling Cock Ball Valve arrangement Size 25 Bore 01 One No Hex Nipple Size Dia 25 x 50 Mat AISI 304. make AXCON Model No.- CF 8 Similar 
Drg No.- Sk.-97003 ,Alt.-5 ,,,,,,,SPINDLE IRS Design 20 Isolating Cock Ball Type RDSO Item-6 
Drg No.- WD-94068-,,,,,,,,Bulb Type Split Cotter 1 S/1 Item 1 
Drg No.- WD-94068-,,,,,,,,Bulb Type Split Cotter 2 S/1 Item 2 
,,,,,Sk.No.- LLH 11/2015 ,,,Table Arm For A.C Chair Car Type 1 
,,,,,Sk No.- LLH-04/2002 ,,,Modified Catch securing B.C.B.R per 
,,,,,,,,1 POH Kit M/s SIL make Levelling Valve per Annexure I 04 Nos./Set 2 POH Kit M/s SIL make Duplex Check Valve per Annexure II 02 Nos./Set 
,,,,,,,,Modified Hydraulic door closer Size- 250x80x80 Material Aluminium Make model No Godrej c071 Stanley SGDC505 Quba QDC 40 
Drg No.- ICF/VNR-5-4-202 ,,,,,,,,Fixing Rubber Profile key per 
Drg No.- CG-K 7045 ,,,,,,,,Stopper per RDSO 
Drg No.- AE-61698 ,,,,,,,,Strap Assembly per 
Drg No.- ICF Sk 5-5-030 ,,,,,,,,Non Inflammable High Strength Glass Wool Composite material Non AC Coach LV Window Structure As per Only Dimension 
Drg No.- LB-54105 ,Alt.- Nil ,,,,,,,SLR Observation Glass On end Wall RCF Coaches Size 800 x 560 x 6.38 per RCF 
,,,,,,,,Granite Table Top GALAXY Size 8 x 2 Supply installation polishing 
,,,Item no-7 ,,Sk No.- 39/2004.,,,Frame Emergency Glass Non-AC Janshatabdi Similar Type Copy per LLH 
Drg No.- CG 15034 ,Alt No.- Nil ,,Item No.- 2 ,,,,,Securing Bracket SS Wire Rope Welded Inner Head Stock 
Drg.No CG-15036 ,Alt-1 ,,Item No.8 ,,,,,Brackets U/F mounting DRDF BIO-TOILET TANK per 
,,,Item No 1 01 ,,,,,Set Protection Cover Drain Cock Assembly consisting 02 Two Nos Item per annexure attached No Item No 2 01 No 
Drg No.- Sk.No.- LLH.23/2010 ,,,,,,,,Set Catch Snack Table consisting four 04 items Fig A It.- 1 6 200 Nos ii Fig B It.- 7 11 300 Nos iii Fig C It.- 12 14 200 Nos iv Fig D It.- 15 18 200 Nos 
Drg No.- CC-64359 ,,,Item No.- 2 ,,,,,Indication Plate Sticker Emergency Window 
Drg No.- WFC-5-4-001 ,,,Item No.- 03 ,,,,,Glass Shutter per 
Drg No.- WFC-5-4-001 ,,,Item No.- 02 ,,,,,Louver Shutter net per 
DRG NO T-0-3-680 ,"ALTED DESIGN TO ITEM-1,2,3,4 5 ",,,,,,,BRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BALT.- NIL OR LATEST 
,,,,,,,,Rubber Profile As per sample Minimum Length 20 Mtrs multiple 
,Alt.No.nil ,,,,SK.NO.LLH-12/2003 ,,,Head stock complete 8 Outer Head Stock 
Drg No.- C/CF-311 ,,,,,,,,Door Stop Rubber per M-6 M.S Plain Washer Galvanised 
,,,Item No.- 1 3 5 ,,Sk.No.- 08/,,,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting 
Drg No.- WFC-5-4-001 ,,,Item No.- 02 ,,,,,Louver Shutter net per 
Drg No.- WFC-5-4-001 ,,,Item No.- 03 ,,,,,Glass Shutter per 
Drg No.- 61468 ,Alt.- B ,,,,,,,Stopper Assembly Transverse Back rest ACCN Coaches 
,,,,,,,,Modified hydraulic door closer Size 250x 80x 80 CM Material aluminium Make model No Godrej CO71 Stanley SGDC50S Quba QDC-40 
Drg No.- AE-61519 ,Alt.- C ,,,,,,,Catch arrangement Back Rest 
Drg No CG-15036 ,Alt No.-3 ,,Item No.-8 ,,,,,Screwing piece 
Drg No CC 61297 ,,,,,,,,Catch arrangement conductor berth 
,,,,,,,,Modified hydraulic door closer Size 250x 80x 80 CM Material aluminium Make model No Godrej CO71 Stanley SGDC50S Quba QDC-40 similar 
,,,,,SK NO LLH 1412005 ,,,LOCK FOR SLIDING GLASS SHUTTER FOR JANASATABDI COACHES AS PER 
,,,,,Sk No.- 04/2002 ,,,Modified Catch securing B.C.B.R per LLH 
Drg No.- Sk.-97003 ,Alt.- 5 ,,Item No.- 9 ,,,,,Handle IRS design 20 Isolating Cock Ball Type RDSO 
,,,,,Sk.No.- LLH-04/2002 ,,,Modified Catch Securing B.C.B.R per 
Drg.No.- RDSO Sk.-K-3008 ,,,,,,,,Buffer Spring Parting Plate 
Drg.No.- CG15034 ,Alt.No.- NIL ,,Item No.- 2 ,,,,,Securing Bracket S.S. Wire Rope Welded inner head stock 
,,,Item No.- 1 3 5 ,,Sk.No.-LLH-08/,,,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting 
,,,,,,,,Rubber Kit M/s FTRTIL make C3WR DV Pt.No.- 501004200 comprising 48 items FTRTIL Pt.No.- 790501126 P.L Code No.- 30986369 per annexure atached 
Drg No.- Sk.-97003 ,Alt.- 5 ,,Item No.- 9 ,,,,,Handle IRS design 20 Isolating Cock Ball Type RDSO 
,,,Item No.1 ,,,,,Set pf Spares Retention Tank consisting 02 Two items Clutch Wire Type mechanism Remain Inside Toilet MDTS-41493 04 Nos Per Set Item No.2 Clutch Wire 08 Nos Per Set 
Drg No.- WD-94068-,,,,,,,,Bulb Type Split Cotter 1 S/1 Item 1 
Drg No.- WD-94068-,,,,,,,,Bulb Type Split Cotter 2 S/1 Item 2 
drg CG- 15033 ,,,,,,,,Mounting bracket inner head stock IR- DRDO Bio- Logical Toilet tank per Drawing attached 
drg ICF/SK-3-1-1-178 ,,,,,,,,"Mounting bracket Bio- Retention tank As per Col-1,2 3 1 Coach set consists Col-1-8 Col-2-4 Col-3-4 Drawing attached "
Drg No CG- 15032 ,,,,,,,,Mounting bracket outer head stock IR- DRDO Bio- Logical Toilet tank per Drawing attached 
,,,,,,,,Intermediate Flange Snap Ring KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 AL 2 Nos./Set CI 1 No./Set 
,,,Item No.1 ,,,,,Set pf Spares Retention Tank consisting 02 Two items Clutch Wire Type mechanism Remain Inside Toilet MDTS-41493 04 Nos Per Set Item No.2 Clutch Wire 08 Nos Per Set 
,,,,,,,,LAMINATED SAFETY SMOKE COLOUR GLASS OF SORTS FOR WINDOW ROUND CORNER RADIUS 71mm R IN FOUR CORNER Annexure Attached 
,,,,,,,,Laminated Safety Glass emergency open able window As per IS 2553 part-1 1990 A quality flat glass smoke colour Spec.- 1211mm X 542mm X 6mm thickness Corner radius 10R 
Drg No CC 61297 ,,,,,,,,Catch arrangement conductor berth 
Drg No ICF Sk.No.- T-0-4-042 ,Alt.- h/2 ,,,,,,,Housing Centre Pivot Bogie Bolster ICF Item 1 Similar Drg.No.- WLRRM-0-4-003/T-9 
DRG NO CG11088 ,,,,,,,,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO ITEM 2 MATERIALS AISI 316 Drg attached 
DRG NO CG11088 ,,,,,,,,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO ITEM 2 MATERIALS AISI 316 Drg attached 
,,,,,,,,Intermediate Flange Snap Ring KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 1.2.290 AL 2 Nos./Set CI 1 No./Set 
,,,,,Sk.No.- 9/2007 ,,,Filter B.P Inlet IRS Design PEAV LLH 
Drg No.- Sk.-97003 ,Alt.- 5 ,,Item No.- 9 ,,,,,Handle IRS design 20 Isolating Cock Ball Type RDSO 
Drg No.- ICF/SK/5-5-024 ,,,,,,,,Anti Pilferage Device Cover Sheet Assembly 
,,,ITEM NO.7 ,,SK NO.39/2004 ,,,FRAME FOR EMERGENCY GLASS FOR NON-AC JANSHATABDI SIMILAR TYPE OF COACHES AS PER LLH 
DRG NO -SCN6-6-1-606 ,ALT-X/NIL.MATERIAL-AISI-304 ,,ITEM NO-22 ,,,,,WEARING PLATE SIZE:2MM X 45MM X 55MM.
DRG.NO.RDSO SK-88105 ,ALT NO.3 ,,ITEM NO.5 ,,,,,NYLON 66 BUSH FOR EQUALISING STAY 16.25T TO THREE 
Drg attached ,,,,,SKETCH NO K 1054 ,,,HOSE CONNECTION 3/4 INCH ID 20 MM X 550 MM LENGTH TO RDSO FOR AIR SPRING CONNECTION OF DURANTO EXP THE HOSE MUST CONFIRM TO SAE 100 R3 END FITTING MATERIAL EN- IA ADOPTER LOW CARBON STEEL MAKE GATES PARKER 
,,,,,,,,Over hauling kit relay valve M/s SIL make C3W/REL-10 distributor valve consisting 27 Twenty seven items per annexure attached 
drg No T-5-5-636 ,,,,,,,,Frosted Glass RA/FC Non-AC Coaches Size 920 x 500 x 5 As per 
,,,,,,,,Intermediate Flange Snap Ring KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 1.2.290 AL 2 Nos./Set CI 1 No./Set 
Drg No.- Sk.-97003 ,Alt.- 5 ,,Item No.- 9 ,,,,,Handle IRS design 20 Isolating Cock Ball Type RDSO 
Drg No.- ICF/SK 3-6-1-046 ,,,,,,,,Back Rest Lock side wall per 
DRG.NO LLH-20/89 ,ALT-NIL ,,,,,,,HEAD STOCK BEAM INNER REF ITEM-1 
,,,,,skid 0.5 ,,,Dropout delay time relay ARS time VS 24- 240v Antisec 10min 7 Time ranges per GE CAT No 243012001/ ABB CAT No ARS- 21 Tele machanics Model No RE7RB11 MW 
,,,,,Sk.No.- 04/2002 ,,,Modified Catch Securing B.C.B.R per LLH 
,,,,,,,,Coller bearing part Number-73010051 Make- Electrolux professional similar 
DRG NO ICF/STD-1-2-001 ,Alt-K/5 ,,,,,,REV-2 ,HEAD STOCK COMPLETE AS PER ICF OF COL-III MANUFACTURER SHALL FULFIL REQUIREMENTS AS PER ICF SPEC ICF/MD/SPEC-147 WITH AMND SLIP NO.- 1 OF FEB 2007 
,ALT.-1 ,,,,SK-96074 ,QTY IN NUMBER ,,TEE WITH FLANGE 25X25X20 RDSO/MATERIAL STAINLESS STEEL TO IS 6911-1992X04 Cr.19 Ni9 304 SI . 
,,,,,,,,COVER SHEET 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
DRG NO.-LB10322 ,ALT NIL ,,,,,,,COVER SHEET 
DRG.140-8-3-011 ,,,,,,,REV.00 1 ,SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 SLEEPER CLASS PLATE-BRAILLE TO COL-I 2 SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG 329-6-4-038 COL-I 
DRG NO CA03100 ,ALT B ,,,,,,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING TYPE 16T SG WITH BMBC 
DRG NO CA04100 ,ALT b ,,,,,,,BOGIE BOLSTER ARRANGEMENT FOR AC/NON AC AIR SPRING BOGIE 
DRG NO CA03105 ,ALT C ,,,,,,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE 
DRG NO.- LW56429 ,ALT ,,,,,,,DOOR HANDLE 
DRG NO CA03100 ,ALT b ,,,,,,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING TYPE 16T SG WITH BMBC 
DRG NO CA03105 ,ALT C ,,,,,,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE 
DRG.140-8-3-011 ,,,,,,,REV.00 1 ,SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 SLEEPER CLASS PLATE-BRAILLE TO COL-I 2 SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG 329-6-4-038 COL-I 
DRG.140-8-3-011 ,,,,,,,REV.00 1 ,SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 SLEEPER CLASS PLATE-BRAILLE TO COL-I 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG 329-6-4-038 COL-I 
DRG NO.-LW 61230 ,ALT- ,,,,,,,SAFETY RAIL 
DRG NO CA03105 ,ALT C ,,,,,,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE 
DRG NO G/SD3-693.,,,,,,,,CHUTE COMPLETE FOR WASH BASIN OUTLET DRAWING ATTACHED IN DOCUMENT FILE 
DRG NO 1356176 ,,,,,,,,LOCKING PLATE FOR LHB WHEEL SECURITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO MI005986 ,ALT b OR LATEST ,,,,,,,OPENING MECHANISM FOR BALL VALVE FOR BIO-TOILET RETENTION TANK GRADE-AISI 316 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,REV LATEST CONSISTS OF 1 ,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF 
DRG NO CA03105 ,ALT C ,,,,,,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE 
,,,,,SK-96074 ,QTY IN NOS RDSO/ALT 1 ,,TEE WITH FLANGE 20X20X20 MATERIAL STAINLESS STEEL TO IS:6911-1992x04 Cr 19 Ni 9304 SI 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,,,,,SK-96074 ,QTY IN NOS RDSO/ALT-1 ,,TEE WITH FLANGE 20X20X20 MATERIAL STAINLESS STTEL TO IS 6911-1992x04 Cr 19 Ni 9304 SI 
,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,,,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE ,,,,,,,COVER SHEET DRAWING NO.- LB10319 
,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,,,,,,,,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
DRG NO CG-15032 ,,,,,,,,BRACKETFOR OUTER HEAD STOCK TO 
DRG NO CG-15033 ,,,,,,,,MOUNTING BRACKET FOR INNER HEAD STOCK TO 
DRG NO 1356176 ,,,,,,,,LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
DRG NO.- LW56429 ,ALT ,,,,,,,DOOR HANDLE 
DRG NO.-LW 61230 ,ALT- ,,,,,,,SAFETY RAIL 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,REV LATEST CONSISTS OF 1 ,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF 
,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE ,,,,,,,COVER SHEET DRAWING NO.- LB10319 
DRG NO 1356176 ,,,,,,,,LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO WGSCWAC-6-4-027 ,,,,,,,,MAGZINE BAG BROWN 
DRG.NO G/SD 3-460 ,,,,,,,,MUG STAND STAINLESS STEEL TEST PIECE REQUIRED ALONG WITH BULK SUPPLY DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO-LW 61230 ,ALT ,,,,,,,SAFETY RAIL 
,,,,,SK-96074 ,QTY IN NOS RDSO/ALT-1 ,,TEE WITH FLANGE 20X20X20 MATERIAL STAINLESS STTEL TO IS 6911-1992x04 Cr 19 Ni 9304 SI 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
Drg No G/SD3-693 ,,,,,,,,Chute Complete Wash Basin Outlet 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
DRG NO LB10321 ,ALT NIL ,,,,,,,COVER SHEET 
DRG NO CG-15036 ,,,,,,,,"BRACKET ON U/F FOR MOUNTING ITEM 3,4,5 6 "
DRG NO CG-15036 ,,,,,,,,"BRACKET ON U/F FOR MOUNTING ITEM 3,4,5 6 "
DRG NO CG-15032 ,,,,,,,,MOUNTING BRACKET FOR OUTER HEAD STOCK TO 
DRG NO CG-15036 ,,,,,,,,"BRACKET ON U/F FOR MOUNTING TO ITEM 3,4,5 AND 6 "
DRG NO CG-15033 ,,,,,,,,MOUNTING BRACKET FOR INNER HEAD STOCK TO 
DRG.NO G/SD 3-460 ,,,,,,,,MUG STAND STAINLESS STEEL DRAWING COPY ATTACHED IN DOCUMENT FILE 
,,,,,SK-722 ,,,COMPRESSION SPRING 
DRG ICF/STD-8-3-011 ,,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
Drg MI005568 ,,,,,,,,Outlet Slide Valve per RCF Make- Amit Vibhu Aikon 
,,,,,,,,Inside Coach No Display Plate made Acrylic size- 5 x 5 Sample approved consignee supply Detail per Annexure A 
,,,,,,,,A Set Bi Lingual Vinyl Sticker Destination board Size- 48 x6 2325 Nos Multilingual Vinyl Sticker Valley Board Size 48 x18 145 No s. Pasting good adhesive quality coaches boards Detail per Annexure 
,,,,,,,,Heavy Duty Elastic wire rope Elastic thread 10 dia containing 80-85 inner threads dia.0.6 
Drg MI005569 ,,,,,,,,Flapper Valve Assembly Asper RCF Make- Amit/ Vibhu/Aikon 
Drg no.59.91.0201 ,,,,,Sketch coaching maintenance manual- Ref Stone india ltd. Make- Escorts/SAB WABCO/Stone India similar ,,,SAB slack adjuster Barrel test Bench suitable testing SAB type DRV2 450/600 Ref drawing 2KB 6952 Escort limited faridabad 
,,,,,,,,Liquid Soap Container 250 ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Made 3mm Thick Hard Plastic per Drawing attached 
,,,,,,,,Pillar Drill Machine V Belt driven single spindle 20 drilling capacity 
,,,,,,,,Bottle jack 30 ton capacity screw extension 100 safety lock nut pump closed Height :270-285 Hydraulic lift 150-200 Total extended Height 420-485 RAM dia 75 approx Base size 200x200 body dia 146-160mm 
,,,,,,,,Hand Trolley double wheel barrow As per specification Size:36 L x24 W x12 deep handle x15 deep opposite end M.S sheet body 2 24 dia T section wheels made 40x40x6 M.S T 2 handle made MS angle 2 M.S legs made 35x35x5 MS angle 
,,,,,,,,Single Coach Test rig SCTR As per specification Single coach test Rig utilized testing twin pipe graduated release air brake coaches following features -1. single coach test rig consisting automatic brake valve three positons viz position -1 charge position-2 charging releasing position-3 full service application 2. reservoir pressure reducing valves pressure gauges measuring brake pipe feed pipe feed pipe presure 0 10 kg/cm2 3.Inlet connection air supply air compressor provided two coupling heads one brake pipe feed pipe . 4. three extra pressure gauge 0 10 kg/cm sq flexible hose size 3/8 provided standerd accossories check pressure AR BC CR 5 Hose assembly suitable length brake pipe feed pipe provided dummy couplings reach hose coupling coach 6. mounted trolley provision two caster wheels one rest stabling enable easy shifting loacation fitted handle mobility . Note Inspecting authority- RDSO/RITES AMC Required 
Drg CC 56437 ,,,,,,,,Indication bolt S.S./Latch single leaf lavatory door LHB coaches RCF 
,,,,,,,,Flat Head Aluminium Rivet Size- 19x5 
,,,,,,,,"Contactor SULLAIR Compressor Tesvs-044216,37 KW 440 V 60 HP IEC/EN 60947-1 Model LC 1 D 80 Make- Schneider equilent Model BCH Siemens Havels L T "
,,,,,,,,MV Board CARD To FTIL part 1/600006 Make- FAIVELEY 
,,,,,,,,Circuit Board PB03A KBI Part no.-STN25089 WSP LHB Double Decker Shatabdi coaches Make- Knooe-Bremse 
,,,,,,,,Speed Sensor G 16 KBI Part no.1135456/20013 LHB Double Decker Shatabdi Coaches . Make- Knoor- Bremse 
,,,,,,,,MCCB Atlas air Compressor stabilizer use Specifications CVS-250 B 200 Amp . UI-690 V UIMP-8 KV Ue V -415 ICU KA -25 ICS-100 percent ICU-50/60 Hz.Cat.A 40 C IEC-60947-2 IS/IEC-60947-2 terminal timer 1600 A adjustable Make- Schneider electric Siemens Similar 
,,,,,,,,Circuit Board EBO1B KBI Part No STN25799/01 WSP LHB Double decker Shatabdi Coaches . Make- Knoor -Bremse 
,,,,,,,,Exhaust Fan Single Phase 220-240 Volt 50 Hz AC Sweep 450 Watts- 360 Amp 1.7 Class- E 18 /1400 RPM Air Compressure Drier Use . Make- Havels Crompton Marathon 
,,,,,SK-005 ,,,SS Reducer Bio digester Western Commode Size 180/100 Grade-304 per NWR/JP Drawing 
,,,,,,,,1/2 Female thread QRC Socket Check valve fitted Male thread QRC Plug without Check valve Capacity- 10 Kg/Cm2 15 Plug 15 Socket Make- Legric Parker tufit 
,,,,,,,,Recoiled Hose Polyurethane Tube blue color size-ID-8mm OD-12mm Length-20 Mtr long 1/2 BSP BSP Swivel nut Crimped side end Working Pressure- 10 Kg cm2 Make- Legric Parker Tufit 
,,,,,SK-005 ,,,SS Reducer Bio digester Western Commode Size 180/100 Grade-304 per NWR/JP Drawing 
Drg ICF/SK-6-3-425 ,Alt m/7 . ,,,,,,,Push Type Flush Valve Made high Impact Polystyrene Material HIPS 25 lavatory passenger coaches inner threads per ICF Make- CDC RV RNS similar approved ICF 
,alt Black Decker Chicago Pneumatic ,,,,,,,1/2 Impact pneumatic Wrench spec Screw diameter quality class 8.8 -M16 Max Tightening torque-350 Nm No-load speed 7000 1/Min Direction rotation R-Right L- Left R/L air consumption load 15bzw.31.8 I/s/cfm Weight per EPTA-2.4 kg Approximately Bit Holder- 1/2 external square Connecting thread 1/4 NPT hose inner diameter-10 mm . Make- Bosch Dew
,,,,,,,,Hex.HD Nylock nut M-16 High tensile quality property class 10 prevalling torque type Make- Unbrako TVS 
,,,,,,,,Electronic Weighing Scale platform class II Cappacity- 500 kg Resoulution 50 gms pan/platformtolerance 10 percent 700x700mm 
drg no.3 ,,,,,,,,Isolating cock 1 part 023017000 LHB coaches use Make- Faiveley Knorr Bremse Cock g1-dn 25 e ii 50176/1a1k Escorts KB 4465/2 
,,,,,,,,Hand Glove 100 percent NITRILE CE Certified As per specification 1.Model size Flocklined Series GNF 1513 15 Mil 13 L Size 2.Material Specially formulated Nitrile Compound 3.Exterior Cotton Flocklined GNF Series 4.Thickness 0.38 Length-33 cm . 5.Colour Green 6.Cuff Straight 7.Grip Pattern Recessed Diamond 8.Make- DPL Safetywere JT Labor Protection App.co 
