UNIT *,PRODUCT CODE,DESCRIPTION,SPECIFICATION
1,60000166,"HEX HEAD SCREW M 20 X 1.5 X 40, TO ICF DRG. NO. ICF/SK3-0-2-005, ALT-NIL, ITEM NO. 3. MTRL. AND SPECN. AS PER DRG.",
3,60007010,NUMBER PLATE,
24,60007010,NUMBER PLATE FOR BOGIES BUILT IN RCF AS PER AS PER DRG.NO.CC00102 ALT `A',
27,60007010,NUMBER PLATE FOR BOGIES BUILT IN RCF,
24,60010015,SET OF AXLE BOX GUIDE ARRT. WITH CAPSULE TYPE SHOCK ABSORBER AS PER MPLCAPTSA VERSION 01,
24,60010026,SET OF A.B. GUIDE ARRT. WITH CAPSULE TYPE SHOCK ABSORBER (RUBBER ITEM) AS PER MPLCTSARI VERSION 0,
24,60010037,MODIFIED LOWER SPRING SEAT FOR CAPSULE TYPE SHOCK ABSORBER AS PER CC01243 ALT. 'C',
24,60010048,SOLID FORGED WHEEL FOR EMU AS PER RDSO SK-K4004 ALT. '3',
24,60010059,SPACER AS PER CC01244 ITEM 6 ALT. 'D',
24,60010060,MACHINING AND ASSLY. OF WHEEL & AXLE COMPLETE FOR MG COACHES AS PER MG/T-0-2-012 ALT. 'WR',
13,60010070,HELICAL SPRING FOR AXLE BOX OF DMU COACHES,IS 3196-92 SICR-430 V
24,60010070,HELICAL SPRING FOR AXLE BOX OF CARRIER COACH BOGIE OF MBIV AS PER DMU/DPC-0-1-001 ALT.'G',
24,60010081,"WHEEL AND AXLE ASSY. (WITH FORGED WHEELS) FOR DIRECT MOUNTED ROLLER BEARING ARRGT. AS PER CG-K6016 ALT.'1', FORGED WHEEL TO SPEC.NO.IRS-R-19/93 (PART II)",
24,60010093,WHEEL SOLID FORGED (ROUGH TURNED)  FOR 13T & 16T BOGIES AS PER W/WL-1660/R ALT.'12',
24,60010100,"SOLID WHEEL CAST ( ROUGH TURNED) AS PER W/WL-1660/R ALT. '12' (AS PER RDSO L.NO.MC/WAP/TRL DT:08/11.04.11, CAST WHEELS PERMITTED UP TO110 KMPH)",
8,60010111,"SAFETY STRAP FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRAWING NO. T - 0 - 1 - 631, ALT. K/4, MATL. & SPECN. IS : 2062/2011, E-250 - A.",
9,60010111,"AXLE BOX HOUSING FINISH MACHINED AS PER   ICF DRG.NO.T-0-2-602, SHEET 1 & 2,ALT.U/14.  ITEM NO.2. CONFORMING TO RDSO SPECN. NO.RDSO-2007-CG-08,AMEND.SLIP NO.1 OF  JULY 2009.",T02602
11,60010111,STRAP SAFETY FOR COACHES,
13,60010111,"AXLE BOX HOUSING TO ICF DRG. NO.T-0-2-602 WITH ALT.- U/14, ITEM NO.2 . MATERIAL  AND SPECIFICATION  AS PER  RDSO SPECIFICATION NO. RDSO/2007/CG-08  AMENDMENT SLIP NO.1 OF JULY 2009.",
24,60010111,BOLSTER SPRING (OUTER) FOR VP COACHES AS PER SKETCH 98018 ITEM 1,
24,60010123,BOLSTER SPRING (INNER) FOR VP COACHES AS PER SKETCH-98018 ITEM-2,
9,60010159,"""TOP SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT TO ICF DRG.NO.T-0-1-608 ALT. L/11.",T/0/1/608
13,60010159,"""TOP SPRING SEAT FOR AXLE BOX GUIDE ARRANGMENT TO ICF DRG.NO.T-0-1-608 ALT L / 11 (SMALL L ) ITEM NO.2 MATERIAL AND SPECIFICATION AS PER DRG.",
7,60010172,"PACKING RING 13MM THICK TO RDSO DRG. NO.SK-97072, ITEM-1, ALT:NIL.",
8,60010240,"LOWER SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRG. NO. DL - 0 - 1 -  103, ALT.Y/14, IT. 1 & 2, MATL. SPECN. AS PER DRAWING.",
11,60010240,"LOWER SPRING SEAT FOR AXLE BOX GUIDE ARRANGEMENT, TO DRAWING/SPECIFICATION ICFS DRG.NO.DL-0-1-103. ALT NO.Y/14, ITEM 1,2 IN ASSEMBLED CONDITION",
6,60010275,"CIRCLIP A-115 FOR MODIFIED AXLE BOX GUIDE ARRANGEMENT TO  DRG NO.ICF/SK-0-1-182, ITEM-3, ALT-E/NIL.",
7,60010317,"PACKING RING 26MM THICK TO RDSO DRG. NO.SK-97072, ITEM-3, ALT-NIL.",
8,60010330,"HELICAL SPRING FOR CENTRELESS GROUND TO ICF'S DRG. NO. F - 0 - 1 - 006, ALT. A/10, MATL. & SPECN. IS : 3195/92 (3RD REV.0 WITH AMEND. NO.2, GR. 52, CR4, MO 2V AND RDSO'S SPECN. NO. WD - 01 - HLS - 94, REV. 2/04 AMEND.NO. 4 0OF JUNE'05",
11,60010330,SPRING HELICAL FOR A/B ICF COA,
8,60010342,"DUST SHIELD FOR AXLE BOX GUIDE ARRANGEMENT TO ICF'S DRG. NO. T - 0 - 1 - 619, ALT. I/13, MATL. SPECN. IRS - M - 41/97, AMENDMENT NO.2.",
11,60010342,SHIELD DUST AXLE BOX,
13,60010342,HELICAL SPRING OF HIGH CAPACITY POWER CAR TO DRG. NO.WLRRM-0-1-802 ALT. J/3. MATERIAL AND SPECIFICATION AS PER DRG.,IS:3195-82 GR.50 OR GV2
1,60010354,HELICAL SPRING (CENTER LESS GROUND)ICF DRG. NO.F.0.1.006.ALT.NO.B/10.(FOR AXLE GUIDE ARRANGEMENT).,
2,60010354,"HELICAL SPRING CENTRELESS GROUND TO ICF'S DRG. NO.F-0-1-006, ALT.NO.C/10 OR LATEST AND RDSO'S SPECN. NO.WD-01-HLS-94(REV-3)OF JANUARY 2009 OR LATEST.",
3,60010354,"HELICAL SPRING ( CENTRELESS GROUND )  DRAWING NO. F-0-1-006 ALT. ( C )  & ( 10 )   SPECIFICATION: WD-01-HLS-94, (REV-3)",
4,60010354,HELICAL SPRING CENTERLESS GROUND TO ICF,AS PER DRG
5,60010354,"SPRING HELICAL AXLE BOX / BG-NAC,","SPECIFICATION NO:I S-3195, GR-52, CR.4 MO 2V & RDSO SPEC NO-WD-01-HLS-94(REV-3)"
6,60010354,HELICAL SPRING FOR AXLE BOX OTHER THAN AC COACHES DRG.NO.SR SK-NO.C&W-3767 ALT-3 SPEC.NO.WD-01-HLS-94 (REV.3) JAN.'09.WITH AMDT.NO.1 OF SEP.16,
7,60010354,"HELICAL SPRING (CENTRELESS GROUND)   FOR AXLE BOX GUIDE ARRANGEMENT CONFIRMING TO RDSO SPECN. NO. WD-01-HLS-94. (REV-3) OFJANUARY 2009  TO ICF DRG. NO. F-0-1-006, ALT. B/10.",
9,60010354,AXLE BOX HELICAL SPRING FOR NON AC COACH TO ICF DRG:NO:F-01-006 ALT.C/10 & CONFIRMING TO RDSO SPECIFICATION NO.WD-01-HLS-1994 [REV.3 OF JAN.09.][RSK DRG.CODE.NO.A01],F 01006 ALT.C/10.
10,60010354,HELICAL SPRING CEULRELESS GR-1,
12,60010354,HELICAL SPRING CENTRELESS GROUND FOR 13 TON AXLE BOX ARRANGEMENT DRG NO F-0.1.006 ALT X/10 & C.RLY ALT 'B' OR LATEST,
13,60010354,HELICAL SPRING FOR AXLE BOX  (NAC)TO ICF DRG:NO.F-0-1-006 ALT-C/10 MATERIAL & SPEC AS PER  SPEC. NO. WD-01-HLS-94 REV.-3,
15,60010354,HELICAL SPRING(NON-AC) FOR AXLE BOX TO DRG.NO.F-0-1-006 ALT.C/10  RDSO SPECIFICATION NO.WD-01-HLS-94.REV.2 OF FEB.2004.AMENDMENT-5,
16,60010354,HELICAL SPRING (CENTERLESS GROUND FOR 13 TON) FOR AXLE BOX ARRANGEMENT (FOR  NON AC COACHES),
99,60010354,"HELICAL SPRING CENTRELESS GROUND TO ICF'S DRG. NO.F-0-1-006, ALT.NO.C/10 OR LATEST AND RDSO'S SPECN. NO.WD-01-HLS-94(REV-3)OF JANUARY 2009 OR LATEST.",
4,60010366,"PROTECTIVE TUBE COMPLETE FOR AXLE BOX GUIDE ARRGT. BG TO ICF DRG. NO. T-0-1-610 ALT. X/13 COL. II, ITEM 1 AND 3. SECIFICATION AS PER DRAWING.",
13,60010366,TAG FOR HELICAL SPRING TO DRG. NO. SKT/2009/103/C WITH ALT. 1. MATERIAL AND SPECIFICATION AS PER DRG.,
8,60010391,"AXLE BOX HOUSING FOR ICF COACHES (FINISH MACHINED). DRG. NO. : ICF'S DRG. T - 0 - 2 - 602, ALT. U/14, IT.2, MATL. & SPECN. RDSO/2007/CG-08 - MARCH'2008.",
11,60010391,"AXLE BOX HOUSING FOR ICF COACHES (FINISH MACHINED) TO ICF DRG. T-0-2-602ALT. NO. S/14, ITEM NO.2",
13,60010391,"COMPENSATING RING FOR AXLE BOX GUIDE ARRANGEMENT AND  BOLSTER SUSPENSION TO ICF DRG NO. T-0-0-602 ALT-K, ITEM NO. 1 MAT. AND SPEC. AS PER DRG.",
13,60010408,COMPENSATING RING FOR AXLE BOX GUIDE ARRANGEMENT AND BOLSTER SUSPENSION  TO DRG. NO. T-0-0-602 ALT. K ITEM NO.9. MATERIAL AND SPECIFICATION AS PER DRG.,
9,60010410,HIGH CAPACITY THERMOPLASTIC POLYESTER ELASTOMER (HYTREL) UPPER WASHER FOR PRIMARY SUSPENSION TO RDSO DRG.NO.CG-K-4058 ALT.3 (OR LATEST) CONFORMING TO RDSO SPECIFICATION NO. C-K-409(REV.2) OF DEC-08; WITH AMENDMENT  SLIP NO.4 OF AUGUST-2016.,IRS CBE - 4516
13,60010410,"HYTREL UPPER WASHER FOR PRIMARY SUSPENSION TO RDSO DRG. NO. CG-K-4058 WITH ALT.-3, MAT. AND SPEC. AS PER RDSO SPECIFICATION CK -409 REV.-2 AMENDMENT-3 OF SEPT 2010.",
16,60010410,RUBBER WASHER,
3,60010421,SPRING CLIP FOR AXLE BOX GUIDE ARRANGEMENT TO ITEM 1 OF ICF DRG NO T-O-1-614 ALT (I) & (10). MAT. & SPECN AS PER DRG.,
4,60010421,SPRING CLIP IRS/C/BE-4521-I -I,
10,60010421,SPRING CLIP IRS/C/BE-4521 -1,
8,60010433,"MODIFIED GUIDE CAP FOR AXLE GUIDE FOR ICF COACHES TO RDSO'S SK. NO. 85070,ALT. 3, ITEM 3 TO 9 IN ASSEMBLED CONDITION, MATL. & SPEC. AS PER DRAWING.",
11,60010433,GUIDE CAP FOR A/BOX,
24,60010445,GUIDE CAP FOR AXLE BOX GUIDE ARRANGEMENT SHOULD PROCURE ALONG WIT AS PER CC01111 ALT 'W',
2,60010456,DUST SHIELD SPRING FOR MOTOR COACHES TO ICF DRG.NO. T-0-1-012 ALT.G/5 .,
99,60010456,DUST SHIELD SPRING FOR MOTOR COACHES TO ICF DRG.NO. T-0-1-012 ALT.G/5 .,
1,60010457,DUST SHIELD SPRING T-O-,
2,60010457,DUST SHIELD SPRING FOR MOTOR COACHES TO ICF DRG.NO. T-0-1-012 ALT.G/5 .,
3,60010457,DUST SHIELD SPRING AS PER  ICF DRG. NO. T - 0 - 1 - 012 ALT. G /5 ALT- 'G /5 '.,
4,60010457,DUST SHIELD SPRING SIZE 4X1954,
7,60010457,DUST SHIELD SPRING FOR AXLE BOX GUIDE TO ICF DRG. NO.T-0-1-012. ALT: H/5.,
8,60010457,"DUST SHIELD SPRING FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRG. NO. T-0-1-607 , ALT. J/15. MATERIAL AND SPECIFICATION : IS:4454(PT. I ) 2001 GR. SM.",
10,60010457,DUST SHIELD SPRING          -I,
11,60010457,SPRING DUST SHIELD SCH.,
12,60010457,"DUST SHIELD SPRING FOR AXLE BOX GUIDE ARRANGEMENT AS PER IRS DRG. NO. T-0-1-607, ALT. 15 & J, MATERIAL & SPECIFICATION IS: 4454-81, PART-I , GRADE-3 .",
15,60010457,ICF COACHES,
16,60010457,DUST SHIELD SPRING T-O-,
24,60010457,DUST SHIELD SPRING AS PER T-0-1-012 ALT G  ITEM  1,
99,60010457,DUST SHIELD SPRING FOR MOTOR COACHES TO ICF DRG.NO. T-0-1-012 ALT.G/5 .,
1,60010470,"ACETAL GUIDE RING FOR BG COACHES TO RDSO DRG. NO. SK 91025 ALT-3. MATERIAL AND SPECIFICATION RDSO STR NO. C-8215 REV-II. AMENDMENT NO. 1 OF APRIL-92.

THIS ITEM IS RESERVED FOR PROCUREMENT FROM RDSO APPROVED SOURCES ONLY.",
2,60010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT TO RDSO'S SK-84102, ITEM NO.- 2 (TWO), ALT. NO.-5 (FIVE) OR LATEST AND RDSO'S STR NO. C-8215 (REV-II) WITH AMENDMENT SLIP NO.1 OF APRIL, 1992 OR LATEST.",
4,60010470,"GUIDE RING  FOR AXLE BOX GUIDE ARRANGEMENT TO RDSO DRG. NO.SK-84102 ALT. 5, ITEM-2 AND RDSO SPEC. NO. C-8215 REV. 2 WITH AMENDMENT 1.",
5,60010470,"GUIDE  RING  (ACETAL HOMOPOLYMAR) BG-ICF  FOR AXLE BOX GUIDE ARRANGEMENT,","MATERIAL  SPECIFICATION :  ACETAL HOMOPOLYMAR, C-8215(REV-2)"
7,60010470,"ACETAL GUIDE RING FOR BG COACHES AND CONFIRMING TO RDSO SPECN.NO.C-8215, REV.II, AMEND-1 TO RDSO DRG NO. RDSO/SK-91025, ALT.3.",
8,60010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. S.E. RLY'S DRG. NO. GRC/C - 267, STEP A, ALT. NIL, MATL. & SPECN. RDSO'S STR NO. C - 8215 (REV.II)/1991.",
9,60010470,"ACETAL GUIDE RING FOR B.G.COACHES TO RDSO  DRG NO.SK-91025 ALT.-3.CONFORMING TO RDSO. SPECN.C-8215 REV.2,AMENDMENT SLIP NO.1 SLIP NO.1 OF APRIL -1992.",T 01014
10,60010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT FOR ICF[BG] SPEC. C-8215, REV. 2, AMD. 1, SK- 84102, IT. 2, ALT.- 05.",
11,60010470,WASHER SEALING AXLE BOX GUIDE,
12,60010470,ACETAL GUIDE RING FOR BG COACHES TO RDSO TO RDSO  DRAWING NO-SK 91025 ALT. 3. MATERIAL SPECIFICATION IS AS PER DRG.,
13,60010470,"GUIDE RING (ACETAL HOMOPOLYMER) FOR AXLE BOX GUIDE  ARRANGEMENT TO DRG. NO.T-0-1-640 WITH ALT. B/2
 MAT    AND SPECN. AS PER DRG.",
15,60010470,ACETAL GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT TO ICF DRG NO T-0-1-640 ALT B/2 RDSO SPECN C-8215 REV II AMDT1.,
16,60010470,ACETAL GUIDE RING FOR BG COACHES TO DRG. NO.-,
99,60010470,"GUIDE RING FOR AXLE BOX GUIDE ARRANGEMENT TO RDSO'S SK-84102, ITEM NO.- 2 (TWO), ALT. NO.-5 (FIVE) OR LATEST AND RDSO'S STR NO. C-8215 (REV-II) WITH AMENDMENT SLIP NO.1 OF APRIL, 1992 OR LATEST.",
15,60010471,ICF COACHES,
2,60010482,"HELICAL SPRING FOR AXLE BOX (HIGH CAPACITY PARCEL VAN) TO RDSO'S SK-98017, ALT NO.-1(ONE) OR LATEST AND RDSO'S SPEC. NO. WD-01-HLS-94(REV.-3) OF JANUARY,2009 OR LATEST.",
3,60010482,HELICAL SPRING FOR AXLE BOX DRG N0 RDSO/SK-NO-98017,
5,60010482,HELICAL SPRING FOR AXLE BOX ( FOR HIGH  CAPACITY PARCEL  VAN ),MAT.SPEC. NO: WD-HLS-94(REV-1-MAY-95) OR LATEST
7,60010482,HELICAL SPRING FOR AXLE BOX ( FOR HIGH CAPACITY PARCEL VAN) AND CONFIRMING TO RDSO SPEC. WD-01-HLS-94.( REV .3) OF JANUARY 2009 TO  RDSO/SK - 98017 ITEM - 1 ALT 1,
9,60010482,AXLE BOX HELICAL SPRING FOR HIGH CAPACITY PARCEL VAN AS PER RDSO DRG.NO.SK-98017 ALT-1  & CONFORMING TO RDSO SPECN.  WD-01-HLS-94 (REV-3) OF JAN-2009(RSK CODE NO.A10),SK-98017 ALT-1
15,60010482,"HELICAL SPRING FOR AXLE BOX (FOR HIGH CAPACITY PARCEL VAN) TO RDSO SK. NO.98017, RSK CODE A-10",
99,60010482,"HELICAL SPRING FOR AXLE BOX (HIGH CAPACITY PARCEL VAN) TO RDSO'S SK-98017, ALT NO.-1(ONE) OR LATEST AND RDSO'S SPEC. NO. WD-01-HLS-94(REV.-3) OF JANUARY,2009 OR LATEST.",
1,60010494,"BOLSTER SPRING (FOR HIGH CAPACITY PARCEL VAN)RDSO DRG. NO.SK-98018.ALT.NO.1.ITEM NO.1.OUTER.
MATERIAL AND SPECIFICATION AS PER DRAWING.",
2,60010494,BOLSTER SPRING FOR HIGH CAP.P,
3,60010494,BOLSTER SPRING (OUTER) FOR HIGH CAPACITY PARCAL VAN DRG NO RDSO -98018 ALT (1)ITEM -1SPCEN NO RD %U2013O1-HLS-94 (REV-3),
5,60010494,"BOLSTER  SPRING (OUTER), FOR VPH,",MAT.SPECN.WD-01-HLS-94 (REV-3]
6,60010494,"BOLSTER SPRING OUTER FOR HIGH CAPACITY PARCEL VAN (CODE B-15) RDSO SK-98018,  ALT.1  SPECN.WD-01-HLS-94, (REV.3) JAN.09.WITH ANDT.NO.1 OF SEP.16.",
7,60010494,"BOLSTER SPRINGS (OUTER & INNER) FOR HIGH CAPACITY PARCEL VAN AND CONFIRMING TO RDSO SPEC. NO: WD-01-HLS-94.(REV-2) OF FEB 2004 AMENDMENT NO.5 OF FEBRUARY 06 TO RDSO DRG NO: RDSO/SK-98018, ITEMS - 1 & 2, ALT: NIL.",
9,60010494,"BOLSTER OUTER HELICAL SPRING  FOR HIGH CAPACITY  PARCEL VAN TO RDSO DRG.NO.SK-98018, ALT 1    ITEM NO.1 &  CONFORMING TO RDSO SPECN WD-01-HLS-94(REV-3)OF JAN-2009. (RSK CODE NO.B 15)",ITEM-1 SK.98018
12,60010494,BRACKET FOR LOWER SPRING BEAM 16 T{LH}.,
15,60010494,"BOLSTER COIL SPRING OUTER (HIGH CAPACITY PARCEL VAN/ HCPV) SK-98018 [O] SPRING CODE B-15"".",
16,60010494,BRACKET FOR LOWER SPRING BEAM 16 T (LH),
99,60010494,BOLSTER SPRING FOR HIGH CAP.P,
5,60010500,"HELICAL  SPRING  FOR AXLE  BOX  FOR  VPH ,",RDSO SPECIFICATION NO: WD-01-HLS-94 (REV-3]
9,60010500,DUST SEALING RING.,T-01-015
15,60010500,SPRING KIT FOR C3W DISTRIBUTOR VALVE CONSISTING OF 14 ITEMS TO SPECIFICATION 02-ABR-02 APPENDIX A-1.(AS PER ENCLOSURE).,
3,60010512,"BUFFING SPRING PARTING PLATE. DRG NO :- RDSO/SK-K3008, ALT [NIL]",
5,60010512,"HELICAL SPRING FOR AXLE BOX (FOR HIGH CAPACITY PARCEL VAN ),","AS PER RDSO DRG. NO: SKETCH-98017,ALT-1 OR LATEST. MATERIAL SPECIFICATION :WD-01-HLS-94 (REV-1,MAY'95) OR LATEST."
7,60010512,"BUFFING SPRING PARTING PLATE [GALVANIZED] TO RDSO DRG NO:RDSO/SK-K3008,
 ALT:1.",
8,60010512,"RUBBER PACKING RING FOR AXLE BOX GUIDE ARRANGEMENT. DRG. NO. ICF'S DRG. NO. T - 0 - 1 - 632, ALT. D/7, MATL. & SPECN. : IRS - R - 47,  1972 WITH CORRIGENDUM NO. 3/84.",
11,60010512,RING PACKING AXLE BOX,
12,60010512,BRACKET FOR LOWER SPRING BEAM 16 T{RH}.,
13,60010512,BUFFING SPRING PARTING PLATE DIAMETER 178 X DIAMETER 41 X 5 MM TO DRAWING NO.SK-K 3008 WITH ALT. 1. MATERIAL AND SPECIFICATION AS PER DRAWING.,"IS 1079-94 , GR- C.GALVANISED"
15,60010512,"BUFFING SPRING PARTING PLATE TO IRS DRG. NO. W/BD-2261, ALT-1.",
16,60010512,BRACKET FOR LOWER SPRING BEAM 16 T(RH),
2,60010524,SAFETY STRAP L TYPE,
99,60010524,SAFETY STRAP L TYPE,
3,60010536,SAFETY SHACKLE,
2,60010548,"COMPENSATING RING SIZE: 4 X DIA.172/DIA.248 TO DRG. NO. ICF/SK-0-0-042, ITEM NO.1, ALT. NO.'F/3' OR LATEST.",
5,60010548,COMPENSATING RING 6 MM X ?250/180 MM,MATERIAL SPECIFICATION NO: IS-2062 42W OR LATEST.
7,60010548,"COMPENSATING RING [6MM THICK X OSD 245 X ISD 178MM] FOR AXLE BOX SPRING TO SCR DRG NO:SCR/C AND W/SK-1112, ALT: NIL.",
10,60010548,"COMPENSATING RING FOR AXLE BOX TO ICF DRG. NO. T-0-1-621, ALT. C/2.",
15,60010548,"COMPENSATING RING 12MM THICK TO ICF DRG.NO. T-0-0-602 ALT K,ITEM 9, MATERIAL SPECN IS 2062/2006 (AMDT 1/2009) GRADE E250 CU-C",
99,60010548,"COMPENSATING RING SIZE: 4 X DIA.172/DIA.248 TO DRG. NO. ICF/SK-0-0-042, ITEM NO.1, ALT. NO.'F/3' OR LATEST.",
1,60010550,"AIR VENT SCREW FOR AXLE GUIDE ARRGT. TO ICF DRG. NO. T-0-1-616 ALT-15/L. ITEM NO. 2.MATERIAL AND SPECIFICATION AS PER DRAWING.",
3,60010550,SPECIAL SEREW  FOR AXLE BOX GUIDE ARRENGEMENT TO ITEM NO.2 OF ICF/DRG.NO.T-0-1-616 ALT (H)&(12) MAT & SPEC AS PER DRG.,
9,60010550,"""SPECIAL SCREW FOR AXLE BOX GUIDE ARRANGEMENT TO ICF DRG.NO.T-0-1-616,ALT.L/15, ITEM NO.1.""",1020
12,60010550,"SPECIAL SCREW TO IRS T-0-1-616, ALT.-15/I.",
13,60010550,SPECIAL SCREW VENT SCREW FOR AXLE BOX GUIDE ARRANGEMENT TO ICF  DRG.NO.T-0-1-616 ALT. L/15 ITEM NO 2. MATERIAL AND SPECIFICATION AS PER DRG.,
16,60010550,AIR VENT SCREW TO DRG.NO. T-0-1-616 ALT.15/L,
2,60010561,"SEALING WASHER FOR AXLE BOX GUIDE ARRANGEMENT TO ICF'S DRG. NO. T-0-1-629, ALT. NO.- C/16 OR LATEST. (NOTE : ALTERNATIVE MATERIAL LEATHER TO IS : 3020-76 FCTS QUALITY WILL BE CONSIDERED AS TECHNICALLY SUITABLE OFFER IF NO OFFER TO SPEC. CU-ASB IS RECEEIVED.)",
9,60010561,"SEALING WASHER FOR AXLE BOX GUIDE ARRGT.TO ICF  DRG.NO.T-0-1-629 ALT.C/16,CONFIRMING TO MATERIAL SPECN.CU-ASB.ALTERNATIVELY LEATHER TO IS:3020-76 FCTS QUALITY MAY BE ACCEPTED.",NO-T-O1-629
10,60010561,"SEALING WASHER FOR AXLE BOX GUIDE ARRANGEMENT TO ICF DRG. NO. T-0-1-629,ALT-C/16.  FIRM'S OFFER: MATERIAL TO BE MADE FROM LEATHER I.E. IS:3020-76 FCTS QUALITY.",
13,60010561,"SEALING WASHER  FOR AXLE BOX GUIDE ARRGT. TO  DRG.NO.T-0-1-629 WITH ALT.C/16,  MATERIAL AND SPECIFICATION AS PER DRG.",
99,60010561,"SEALING WASHER FOR AXLE BOX GUIDE ARRANGEMENT TO ICF'S DRG. NO. T-0-1-629, ALT. NO.- C/16 OR LATEST. (NOTE : ALTERNATIVE MATERIAL LEATHER TO IS : 3020-76 FCTS QUALITY WILL BE CONSIDERED AS TECHNICALLY SUITABLE OFFER IF NO OFFER TO SPEC. CU-ASB IS RECEEIVED.)",
5,60010603,PROTECTION TUBE,
8,60010603,"PROTECTIVE TUBE COMPETE FOR AXLE BOX GUIDE ARRANGEMENT.ICF'S DRG. NO. T - 0 - 1 - 610, ALT.X/13, ITEM 1& 3 IN ASSEMBLED CONDITION, MATL. & SPECN. AS PER DRAWING.",
11,60010603,TUBE PROFECTIVE COMPETE,
3,60010615,COMPENSATING RING,
4,60010615,COMPENSATING RING 4 X PHY172 X PHY248 FOR AXLE BOX SUSPENSION  BG TO ICF DRG. NO. ICF/SK-0-0-042 ALT F-/3 ITEM  1  MATL. & SPECN. AS PER DRAWING.,
9,60010615,"""SCREWING PIECE FOR STOP SCREW ON BOGIE FRAME TO ICF DRG NO T-0-3-640 ALT N/17 ITEM NO.2.""",T/0/3/640
13,60010615,"COMPENSATING RING FOR AXLE BOX GUIDE ARRANCEMENT AND BOLSTER SUSPENSION FOR AC COACHES TO ICF DRG. NO. T-0-0-602 ALT /K, ITEM NO. 11.",
15,60010615,"COMPENSATING RING FOR AXLE BOX GUIDE ARRANGEMENT TO ICF DRG.NO.ICF/SK-O-O-O42 ALT F/3 , ITEM NO.1.",
1,60010627,DUST SHIELD FOR AXLE BOX GUIDE ARRANGMENT TO ICF DRG. NO. T-0-1-619 ALT-M/13. ITEM NO. 1. MTRL AND SPECN AS PER DRG.,
4,60010627,"DUST SHIELD SIZE 2 X PHY153 FOR AXLE BOX GUIDE ARRGT. TO ICF DRG. NO. T-0-1-619, ALT. K/13, ITEM-1. MATL. & SPECN.-IRS M-41/97 WITH AMNDT. SLIP NO. 2 OF MARCH 2006.",
12,60010627,DUST SHIELD FOR AXLE BOCX  GUIDE ARRANGMENT TO IRS DRG. NO. T-0-1-619 ALT 13 & K  MATERIAL & SPECIFICATION IRS- M-41-97.,
16,60010627,DUST SHIELD FOR AXLE BOX GUIDE ARRANGEMENT TO DRG. NO.-,
