DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY,REST
,No,,,,,,,Consisting 04 Items 1 items 1 ,,Kit Bath Room Fittings RA Type Saloon Car Four Set consisting 1 One No per annexure attached 
DRG.NO.-M1006365 ,No,SPECN C-K513 ,,,,,REV-0 ,,,ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF AND RDSO S NO 
DRG NO.CG-15033 ,No,,,,,,,,,MOUNTING BRACKET ON INNER HEAD STOCK BIOLOGICAL PER 
Drg No.- WFC-5-4-001 ,No,,Item No.- 18 ,,,,,,,Glass Shutter per 
Drg No.- WFC-5-4-001 ,No,,Item No.- 17 ,,,,,,,Louver Shutter net per 
,No,,,,,,,Size- 250 Size- 80 Size- 80 Godrej 071 Stanley 505 QDC 40 ,,Modified Hydraulic door Material Aluminium Make model No Quba 
,No,,,,,,,Size 25 Bore 01 Dia 25 x 50 AISI 304 CF 8 ,,Sampling Cock Ball Valve arrangement One No Hex Nipple Size 25 Mat make AXCON Similar 
Drg No.- Sk.-97003 ,No,,,,,Alt.-5 ,,Design 20 RDSO 6 ,,SPINDLE IRS Isolating Cock Ball Type 
Drg No.- WD-94068-,No,,,,,,,Cotter 1 1 1 Item 1 ,,Bulb Type Split 1 
Drg No.- WD-94068-,No,,,,,,,Cotter 2 2 1 Item 2 ,,Bulb Type Split 2 
,No,,,,,,,Type 1 LLH 11 LLH 2015 ,,Table Arm Chair Car 
,No,,,,,,,No.- 04 No.- 2002 ,,Modified Catch per 
,No,,,,,,,Nos./Set 1 I 04 Nos./Set 2 II 02 ,,POH SIL make Levelling Valve per Annexure POH Kit M/s SIL make Duplex Check Valve per Annexure Nos./Set 
,No,,,,,,,Size- 250 Size- 80 Size- 80 Godrej 071 Stanley 505 QDC 40 ,,Modified Hydraulic door Material Aluminium Make model No Quba 
Drg No.- ICF/VNR-5-4-202 ,No,,,,,,,,,Fixing Rubber Profile key per 
Drg No.- CG-K 7045 ,No,,,,,,,,,Stopper per RDSO 
Drg No.- AE-61698 ,No,,,,,,,,,Strap Assembly per 
Drg No.- ICF Sk 5-5-030 ,No,,,,,,,,,Non Inflammable High Strength Glass Wool Composite material Non AC Coach LV Window Structure As per Only Dimension 
Drg No.- LB-54105 ,No,,,,,Alt.- Nil ,,Size 800 x 560 x 6.38 ,,SLR Observation Glass On end Wall RCF Coaches x per RCF 
,No,,,,,,,Size 8 x 2 ,,Granite Table Top GALAXY Supply installation polishing 
,No,,Item no-7 ,,,,,No.- 39 No.- 2004 ,,Frame Emergency Janshatabdi Similar Type Copy per LLH 
Drg No.- CG 15034 ,No,,Item No.- 2 ,,,Alt No.- Nil ,,,,Securing Bracket SS Wire Rope Welded Inner Head Stock 
Drg.No CG-15036 ,No,,Item No.8 ,,,Alt-1 ,,,,mounting TANK per 
,No,,Item No 1 01 ,,,,,consisting 02 No 2 2 01 ,,Set Protection Cover Drain Cock Assembly Two Nos Item per annexure attached Item No No 
Drg No.- Sk.No.- LLH.23/2010 ,No,,,,,,,four 04 It.- 1 1 6 6 200 It.- 7 7 11 11 300 It.- 12 12 14 14 200 It.- 15 15 18 18 200 ,,Set Catch Snack Table consisting items Fig Nos ii Fig It.- Nos iii Fig It.- 200 Nos iv Fig It.- 200 Nos 
Drg No.- CC-64359 ,No,,Item No.- 2 ,,,,,,,Indication Plate Sticker Emergency Window 
Drg No.- WFC-5-4-001 ,No,,Item No.- 03 ,,,,,,,Glass Shutter per 
Drg No.- WFC-5-4-001 ,No,,Item No.- 02 ,,,,,,,Louver Shutter net per 
DRG NO T-0-3-680 ,No,,,,,,,"TO 1 TO 2 TO 3 TO 4 ITEM-1,2,3,4 5 ",,BRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BBRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BALTED DESIGN NIL OR LATEST 
,No,,,,,,,Length 20 ,,Rubber Profile As per sample Minimum Mtrs multiple 
,No,,,,,Alt.No.nil ,,complete 8 Stock 12 Stock 2003 ,,Head stock Outer Head 
Drg No.- C/CF-311 ,No,,,,,,,per 6 ,,Door Stop Rubber Plain Washer Galvanised 
,No,,Item No.- 1 3 5 ,,Sk.No.- 08/,,,,,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting 
Drg No.- WFC-5-4-001 ,No,,Item No.- 02 ,,,,,,,Louver Shutter net per 
Drg No.- WFC-5-4-001 ,No,,Item No.- 03 ,,,,,,,Glass Shutter per 
Drg No.- 61468 ,No,,,,,Alt.- B ,,,,Stopper Assembly Transverse Back rest ACCN Coaches 
,No,,,,,,,Size 250 250x 80 80x 80 Godrej 71 Stanley 50 Quba 40 ,,Modified hydraulic door closer CM Material aluminium Make model No 
Drg No.- AE-61519 ,No,,,,,Alt.- C ,,,,Catch arrangement Back Rest 
Drg No CG-15036 ,No,,Item No.-8 ,,,Alt No.-3 ,,,,Screwing piece 
Drg No CC 61297 ,No,,,,,,,,,Catch arrangement conductor berth 
,No,,,,,,,Size 250 250x 80 80x 80 Godrej 71 Stanley 50 Quba 40 ,,Modified hydraulic door closer CM Material aluminium Make model No similar 
,No,,,,,,,LLH 1412005 ,,LOCK FOR SLIDING GLASS SHUTTER FOR JANASATABDI COACHES AS PER SK NO 
,No,,,,,,,No.- 04 No.- 2002 ,,Modified Catch per LLH 
Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,,Handle IRS Isolating Cock Ball Type RDSO 
,No,,,,,,,Sk.No.- 04 Sk.No.- 2002 ,,Modified Catch 
Drg.No.- RDSO Sk.-K-3008 ,No,,,,,,,,,Buffer Spring Parting Plate 
Drg.No.- CG15034 ,No,,Item No.- 2 ,,,Alt.No.- NIL ,,,,Securing Wire Rope Welded inner head stock 
,No,,Item No.- 1 3 5 ,,Sk.No.-LLH-08/,,,,,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting 
,No,,,,,,,make 3 Pt.No.- 501004200 comprising 48 Pt.No.- 790501126 No.- 30986369 ,,Rubber items FTRTIL Pt.No.- per annexure atached 
Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,,Handle IRS Isolating Cock Ball Type RDSO 
,No,,Item No.1 ,,,,,consisting 02 Toilet 41493 MDTS-41493 04 Item .2 Wire 08 ,,Set pf Spares Retention Tank Two items Clutch Type mechanism Remain Inside Nos Per Set Clutch Wire Nos Per Set 
Drg No.- WD-94068-,No,,,,,,,Cotter 1 1 1 Item 1 ,,Bulb Type Split 1 
Drg No.- WD-94068-,No,,,,,,,Cotter 2 2 1 Item 2 ,,Bulb Type Split 2 
drg CG- 15033 ,Yes,,,,,,,,,Mounting bracket inner head Logical Toilet tank per Drawing attached 
drg ICF/SK-3-1-1-178 ,Yes,,,,,,,"per 1 per 2 Col-1,2 3 3 1 consists 1 consists 8 Col-1-8 2 Col-1-8 4 Col-2-4 3 Col-2-4 4 ",,Mounting Retention tank As Coach set Drawing attached 
Drg No CG- 15032 ,Yes,,,,,,,,,Mounting bracket outer head Logical Toilet tank per Drawing attached 
,No,,,,,,,Pt.No.- 181977 No.- 71 AL 2 CI 1 ,,Intermediate Flange Snap Ring KE Design Distributor Valve 
,No,,Item No.1 ,,,,,consisting 02 Toilet 41493 MDTS-41493 04 Item .2 Wire 08 ,,Set pf Spares Retention Tank Two items Clutch Type mechanism Remain Inside Nos Per Set Clutch Wire Nos Per Set 
,No,,,,,,,RADIUS 71 ,,LAMINATED SAFETY SMOKE COLOUR GLASS OF SORTS FOR WINDOW ROUND CORNER R IN FOUR CORNER Annexure Attached 
,No,,,,,,,IS 2553 2553 1 part-1 1990 Spec.- 1211 X 542 X 6 radius 10 ,,Laminated Safety Glass emergency open able window As per A quality flat glass smoke X thickness Corner 
Drg No CC 61297 ,No,,,,,,,,,Catch arrangement conductor berth 
Drg No ICF Sk.No.- T-0-4-042 ,No,,,,,Alt.- h/2 ,,Item 1 Drg.No.- 0 Drg.No.- 4 Drg.No.- 003 Drg.No.- 9 ,,Housing Centre Pivot Bogie Bolster ICF 
DRG NO CG11088 ,No,,,,,,,ITEM 2 AISI 316 ,,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO MATERIALS Drg attached 
DRG NO CG11088 ,No,,,,,,,ITEM 2 AISI 316 ,,BRACKET FOR SAFETY ROPE LOCKING PLATE AS PER RDSO MATERIALS Drg attached 
,No,,,,,,,Pt.No.- 181977 No.- 71 71 1.2 71 .290 AL 2 CI 1 ,,Intermediate Flange Snap Ring KE Design Distributor Valve 
,No,,,,,,,Sk.No.- 9 Sk.No.- 2007 ,,Inlet IRS Design PEAV 
Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,,Handle IRS Isolating Cock Ball Type RDSO 
Drg No.- ICF/SK/5-5-024 ,No,,,,,,,,,Anti Pilferage Device Cover Sheet Assembly 
,No,,ITEM NO.7 ,,SK NO.39/2004 ,,,,,FRAME EMERGENCY GLASS FOR JANSHATABDI SIMILAR TYPE OF COACHES AS PER LLH 
DRG NO -SCN6-6-1-606 ,No,,ITEM NO-22 ,,,,,PLATE 2 X 45 X 55 PLATE 2 X 45 X 55 X 304 ,,WEARING X PLATE SIZE:2MM X 45MM X 
DRG.NO.RDSO SK-88105 ,No,,ITEM NO.5 ,,,ALT NO.3 ,,NYLON 66 STAY 16.25 ,,BUSH FOR EQUALISING TO THREE 
Drg attached ,No,,,,,,,CONNECTION 3 CONNECTION 4 ID 20 X 550 K 1054 SAE 100 100 3 ,,HOSE INCH MM MM LENGTH TO RDSO SKETCH NO FOR AIR SPRING CONNECTION OF DURANTO EXP THE HOSE MUST CONFIRM TO END FITTING IA ADOPTER LOW CARBON STEEL MAKE GATES PARKER 
,No,,,,,,,make 3 make 10 consisting 27 ,,Over hauling kit relay SIL distributor valve Twenty seven items per annexure attached 
drg No T-5-5-636 ,No,,,,,,,Size 920 x 500 x 5 ,,Frosted Coaches x As per 
,No,,,,,,,Pt.No.- 181977 No.- 71 71 1.2 71 .290 AL 2 CI 1 ,,Intermediate Flange Snap Ring KE Design Distributor Valve 
Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,,Handle IRS Isolating Cock Ball Type RDSO 
Drg No.- ICF/SK 3-6-1-046 ,No,,,,,,,,,Back Rest Lock side wall per 
DRG.NO LLH-20/89 ,No,,,,,ALT-NIL ,,REF 1 ,,HEAD STOCK BEAM INNER 
,No,,,,skid 0.5 ,,,VS 24 24- 240 Antisec 10 10min 7 No 243012001 ARS- 21 No 7 No 11 ,,Dropout delay time relay ARS time Time ranges per GE CAT ABB CAT No Tele machanics Model No MW 
,No,,,,,,,Sk.No.- 04 Sk.No.- 2002 ,,Modified Catch per 
,No,,,,,,,part 73010051 ,,Coller bearing Electrolux professional similar 
DRG NO ICF/STD-1-2-001 ,No,,,,,Alt-K/5 ,REV-2 ,SPEC 147 NO.- 1 FEB 2007 ,,HEAD STOCK COMPLETE AS PER ICF MANUFACTURER SHALL FULFIL REQUIREMENTS AS PER ICF WITH AMND OF 
,No,,,,SK-96074 ,ALT.-1 ,,FLANGE 25 FLANGE 25 FLANGE 20 IS 6911 IS 1992 IS 04 6911-1992X04 .19 Cr.19 9 Ni9 304 ,QTY IN NUMBER ,TEE WITH STAINLESS STEEL TO 
,No,,,,,,,,,COVER SHEET 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
DRG NO.-LB10322 ,No,,,,,ALT NIL ,,,,COVER SHEET 
DRG.140-8-3-011 ,No,,,,,,REV.00 1 ,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I 
DRG NO CA03100 ,No,,,,,ALT B ,,TYPE 16 ,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SG WITH BMBC 
DRG NO CA04100 ,No,,,,,ALT b ,,,,BOGIE BOLSTER ARRANGEMENT AC AIR SPRING BOGIE 
DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
DRG NO.- LW56429 ,No,,,,,ALT ,,,,DOOR HANDLE 
DRG NO CA03100 ,No,,,,,ALT b ,,TYPE 16 ,,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SG WITH BMBC 
DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
DRG.140-8-3-011 ,No,,,,,,REV.00 1 ,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I 
DRG.140-8-3-011 ,No,,,,,,REV.00 1 ,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I 
DRG NO.-LW 61230 ,No,,,,,ALT- ,,,,SAFETY RAIL 
DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
DRG NO G/SD3-693.,Yes,,,,,,,,,CHUTE COMPLETE FOR WASH BASIN OUTLET DRAWING ATTACHED IN DOCUMENT FILE 
DRG NO 1356176 ,Yes,,,,,,,,,LOCKING PLATE FOR LHB WHEEL SECURITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO MI005986 ,No,,,,,ALT b OR LATEST ,,GRADE-AISI 316 ,,OPENING MECHANISM BALL VALVE FOR RETENTION 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF 
DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,,BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE 
,No,,,,SK-96074 ,ALT 1 ,,FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 TO 6911 TO 1992 TO 04 Cr 19 Ni 9304 ,,TEE WITH TEE WITH FLANGE 20X20X20 QTY IN STAINLESS STEEL SI 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
,No,,,,SK-96074 ,ALT-1 ,,FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 IS 6911 IS 1992 IS 04 Cr 19 Ni 9304 ,,TEE WITH TEE WITH FLANGE 20X20X20 QTY IN STAINLESS STTEL TO SI 
,No,,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,No,,,,,,,,,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,Yes,,,,,,,NO.- 10319 NO.- 10319 ,,COVER SHEET COVER SHEET DRAWING NO.- LB10319 ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE 
,No,,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,No,,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,No,,,,,,,,,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
DRG NO CG-15032 ,No,,,,,,,,,BRACKETFOR OUTER HEAD STOCK TO 
DRG NO CG-15033 ,No,,,,,,,,,MOUNTING BRACKET FOR INNER HEAD STOCK TO 
DRG NO 1356176 ,Yes,,,,,,,,,LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
,No,,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
DRG NO.- LW56429 ,No,,,,,ALT ,,,,DOOR HANDLE 
DRG NO.-LW 61230 ,No,,,,,ALT- ,,,,SAFETY RAIL 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF 
,No,,,,,,,,,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE 
,Yes,,,,,,,NO.- 10319 NO.- 10319 ,,COVER SHEET COVER SHEET DRAWING NO.- LB10319 ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO 1356176 ,Yes,,,,,,,,,LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO WGSCWAC-6-4-027 ,No,,,,,,,,,MAGZINE BAG BROWN 
DRG.NO G/SD 3-460 ,Yes,,,,,,,,,MUG STAND STAINLESS STEEL TEST PIECE REQUIRED ALONG WITH BULK SUPPLY DRAWING COPY ATTACHED IN DOCUMENT FILE 
DRG NO-LW 61230 ,No,,,,,ALT ,,,,SAFETY RAIL 
,No,,,,SK-96074 ,ALT-1 ,,FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 IS 6911 IS 1992 IS 04 Cr 19 Ni 9304 ,,TEE WITH TEE WITH FLANGE 20X20X20 QTY IN STAINLESS STTEL TO SI 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
Drg No G/SD3-693 ,No,,,,,,,,,Chute Complete Wash Basin Outlet 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
DRG NO LB10321 ,No,,,,,ALT NIL ,,,,COVER SHEET 
DRG NO CG-15036 ,No,,,,,,,"ITEM 3 ITEM 4 ITEM 5 3,4,5 6 ",,BRACKET FOR MOUNTING 
DRG NO CG-15036 ,No,,,,,,,"ITEM 3 ITEM 4 ITEM 5 3,4,5 6 ",,BRACKET FOR MOUNTING 
DRG NO CG-15032 ,No,,,,,,,,,MOUNTING BRACKET FOR OUTER HEAD STOCK TO 
DRG NO CG-15036 ,No,,,,,,,ITEM 3 ITEM 4 ITEM 5 AND 6 ,,BRACKET FOR MOUNTING TO 
DRG NO CG-15033 ,No,,,,,,,,,MOUNTING BRACKET FOR INNER HEAD STOCK TO 
DRG.NO G/SD 3-460 ,Yes,,,,,,,,,MUG STAND STAINLESS STEEL DRAWING COPY ATTACHED IN DOCUMENT FILE 
,No,,,,SK-722 ,,,,,COMPRESSION SPRING 
DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,,ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF 
Drg MI005568 ,No,,,,,,,,,Outlet Slide Valve per Amit Vibhu Aikon 
,No,,,,,,,size- 5 x 5 ,,Inside Coach No Display Plate made 5 Sample approved consignee supply Detail per Annexure A 
,No,,,,,,,Size- 48 48 6 x6 2325 Size 48 48 18 x18 145 ,,A Set Bi Lingual Vinyl Sticker Destination Nos Multilingual Vinyl Sticker Valley Board 48 Pasting good adhesive quality coaches boards Detail per Annexure 
,No,,,,,,,thread 10 containing 80 containing 85 threads .0 threads .6 ,,Heavy Duty Elastic wire rope Elastic dia inner 
Drg MI005569 ,No,,,,,,,,,Flapper Valve Assembly Asper 
Drg no.59.91.0201 ,Yes,,,,,,,type 2 DRV2 450 DRV2 600 drawing 2 2KB 6952 ,,SAB slack adjuster Barrel test Bench suitable testing SAB Ref Escort limited faridabad Sketch coaching Ref Stone India similar 
,Yes,,,,,,,Container 250 Made 3 ,,Liquid Soap ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Thick Hard Plastic per Drawing attached 
,No,,,,,,,spindle 20 ,,Pillar Drill Machine V Belt driven single drilling capacity 
,No,,,,,,,jack 30 extension 100 Height 270 Height 285 lift 150 lift 200 Height 420 Height 485 dia 75 size 200 size 200 dia 146 dia 160 ,,Bottle ton capacity screw safety lock nut pump closed Hydraulic Total extended Height RAM approx Base body dia 
,No,,,,,,,specification 36 L 24 W 12 handle 15 body 2 2 24 made 40 made 40 made 6 T 2 angle 2 made 35 made 35 made 5 ,,Hand Trolley double wheel barrow As per deep deep opposite sheet dia section wheels M.S T 2 handle made MS 2 M.S legs made MS angle 
,No,,,,,,,features 1 position 1 charge 2 releasing 3 application 2 presure 0 0 10 10 2 kg/cm2 3 . 4 gauge 0 0 10 size 3 size 8 CR 5 coach 6 ,,Single Coach Test rig SCTR As per specification Single test Rig utilized testing twin graduated release air brake coaches following single coach test rig consisting automatic brake valve three positons viz charging full service reservoir pressure reducing valves pressure gauges measuring brake pipe feed pipe feed pipe connection air supply air compressor provided two coupling heads one brake pipe feed pipe three extra pressure 0 10 sq flexible hose provided standerd accossories check pressure AR BC Hose assembly suitable length brake pipe feed pipe provided dummy couplings reach hose coupling coach mounted trolley provision two caster wheels one rest stabling enable easy shifting loacation fitted handle . Note AMC Required 
Drg CC 56437 ,No,,,,,,,,,Indication single leaf lavatory door LHB coaches RCF 
,No,,,,,,,Size- 19 Size- 5 ,,Flat Head Aluminium 
,No,,,,,,,Compressor 044216 Compressor 37 KW 440 V 60 IEC/EN 60947 IEC/EN 1 LC 1 D 80 ,,Contactor SULLAIR Model Schneider equilent Model BCH Siemens Havels L T 
,No,,,,,,,part 1 part 600006 ,,MV Board CARD To FTIL FAIVELEY 
,No,,,,,,,Board 03 Part 25089 ,,Circuit KBI WSP LHB Double Decker Shatabdi 
,No,,,,,,,G 16 Part .1135456 Part 20013 ,,Speed Sensor KBI LHB Double Decker Shatabdi Bremse 
,No,,,,,,,Specifications 250 B 200 . 690 V 8 V 415 KA 25 -25 100 percent 50 percent 60 Hz.Cat.A 40 C 60947 C 2 IEC-60947-2 60947 IEC-60947-2 2 timer 1600 ,,MCCB Atlas air Compressor stabilizer use KV Ue V ICU terminal A Schneider electric Siemens Similar 
,No,,,,,,,Board 1 No 25799 No 01 ,,Circuit KBI Part WSP LHB Double decker Shatabdi 
,No,,,,,,,Phase 220 Phase 240 Volt 50 Sweep 450 Watts- 360 Amp 1.7 E 18 18 1400 ,,Exhaust Fan Single Hz AC RPM Air Compressure Drier Havels Crompton Marathon 
,Yes,,,,SK-005 ,,,Size 180 Size 100 180/100 304 ,,SS Reducer Bio digester Western Commode Drawing 
,No,,,,,,,tufit 1 tufit 2 Capacity- 10 10 2 Kg/Cm2 15 Plug 15 ,,Female thread QRC Check fitted Male thread QRC without Check valve Plug 15 Socket Legric Parker 
,No,,,,,,,color 8 size-ID-8mm 12 OD-12mm 20 long 1 long 2 Pressure- 10 Kg 2 ,,Recoiled Hose Polyurethane Tube blue Mtr BSP BSP Swivel nut Crimped side end Legric Parker Tufit 
,Yes,,,,SK-005 ,,,Size 180 Size 100 180/100 304 ,,SS Reducer Bio digester Western Commode Drawing 
Drg ICF/SK-6-3-425 ,No,,,,,Alt m/7 . ,,HIPS 25 ,,Push Type Flush Valve Made high Impact Polystyrene Material lavatory passenger coaches inner threads per CDC RV RNS similar approved ICF 
