"ITEM_CODE","DESCRIPTION"
"3098","Modified Catch for securing B.C.B.R. as per LLH s Sk. No.- 04/2002."
"3098","Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5."
"3098","Modified Catch for Securing B.C.B.R. as per Sk.No.- LLH-04/2002."
"3098","Buffer Spring Parting Plate to Drg.No.- RDSO Sk.-K-3008."
"3098","Securing Bracket for S.S. Wire Rope Welded on inner head stock to Drg.No.- CG15034, Alt.No.- NIL, Item No.- 2."
"3098","Rail Wheel Arrangement for Pantry Sliding Door Without Aluminium Channel as per Sk.No.-LLH-08/Nos. consisting of Item No.- 1 and 3 to 5."
"3098","Rubber Kit for M/s. FTRTIL make C3WR DV Pt.No.- 501004200 comprising of 48 items to FTRTIL Pt.No.- 790501126 to P.L. Code No.- 30986369 as per annexure atached."
"3098","Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5."
"3098","Set pf Spares of Retention Tank. consisting of 02 Two items. Item No.1 Clutch Wire Type mechanism Remain Inside the Toilet MDTS-41493 04 Nos. Per Set Item No.2 Clutch Wire 08 Nos. Per Set "
"3098","Bulb Type Split Cotter 1 to Drg. No.- WD-94068-S/1, Item - 1"
"3098","Bulb Type Split Cotter 2 to Drg. No.- WD-94068-S/1, Item - 2"
"3098","Mounting bracket on inner head stock for IR- DRDO Bio- Logical Toilet tank as per drg. no. CG- 15033. Drawing attached."
"3098","Mounting bracket for Bio- Retention tank. As per drg. no. ICF/SK-3-1-1-178, Col-1,2 and 3. 1 Coach set consists of Col-1-8, Col-2-4 and Col-3-4. Drawing attached."
"3098","Mounting bracket on outer head stock for IR- DRDO Bio- Logical Toilet tank as per Drg. No. CG- 15032. Drawing attached."
"3098","Intermediate Flange with Snap Ring for KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 . AL - 2 Nos./Set, CI - 1 No./Set."
"3098","Set pf Spares of Retention Tank. consisting of 02 Two items. Item No.1 Clutch Wire Type mechanism Remain Inside the Toilet MDTS-41493 04 Nos. Per Set Item No.2 Clutch Wire 08 Nos. Per Set "
"3098","LAMINATED SAFETY SMOKE COLOUR GLASS OF SORTS FOR WINDOW. ROUND CORNER RADIUS 71mm R IN FOUR CORNER Annexure Attached "
"3098","Laminated Safety Glass for emergency open able window. As per IS - 2553 part-1 1990 A , quality flat glass smoke colour. Spec.- 1211mm X 542mm X 6mm thickness and Corner radius - 10R."
"3098","Catch arrangement for conductor s berth, Drg. No. CC 61297."
"3098","Housing for Centre Pivot for Bogie Bolster to ICF Drg. No. ICF Sk.No.- T-0-4-042, Item - 1, Alt.- h/2 or Similar. Drg.No.- WLRRM-0-4-003/T-9"
"3098","BRACKET FOR SAFETY ROPE. LOCKING PLATE AS PER RDSO DRG. NO. - CG11088 ITEM 2 . MATERIALS - AISI 316. Drg. attached. "
"3098","BRACKET FOR SAFETY ROPE. LOCKING PLATE AS PER RDSO DRG. NO. - CG11088 ITEM 2 . MATERIALS - AISI 316. Drg. attached. "
"3098","Intermediate Flange with Snap Ring for KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 and 1.2.290 . AL - 2 Nos./Set, CI - 1 No./Set."
"3098","Filter at B.P. Inlet of IRS Design PEAV to LLH s Sk.No.- 9/2007."
"3098","Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5."
"3098","Anti Pilferage Device Cover Sheet Assembly Drg. No.- ICF/SK/5-5-024."
"3098","FRAME FOR EMERGENCY GLASS FOR NON-AC JANSHATABDI and SIMILAR TYPE OF COACHES. AS PER LLH SK. NO.39/2004. ITEM NO.7"
"3098","WEARING PLATE SIZE:2MM X 45MM X 55MM.DRG,NO,-SCN6-6-1-606,ALT-X/NIL.ITEM NO-22,MATERIAL-AISI-304."
"3098","NYLON 66 BUSH FOR EQUALISING STAY 16.25T TO DRG.NO.RDSO SK-88105,ITEM NO.5,ALT NO.3 THREE ."
"3098","HOSE CONNECTION 3/4 INCH ID 20 MM X 550 MM LENGTH TO RDSO SKETCH NO. K - 1054 FOR AIR SPRING CONNECTION OF DURANTO EXP. THE HOSE MUST CONFIRM TO SAE 100 R3. END FITTING MATERIAL - EN- IA, ADOPTER LOW CARBON STEEL. MAKE - GATES / PARKER Drg. attached "
"3098","Over hauling kit for relay valve of M/s. SIL make C3W/REL-10 distributor valve consisting of 27 Twenty seven items as per annexure attached."
"3098","Frosted Glass for RA/FC. Non-AC Coaches Size: 920 x 500 x 5 mm. As per drg. No. T-5-5-636"
"3098","Intermediate Flange with Snap Ring for KE Design Distributor Valve KBI Pt.No.- 181977/KI/EK Part No.- 71 and 1.2.290 . AL - 2 Nos./Set, CI - 1 No./Set."
"3098","Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5."
"3098","Back Rest Lock in side wall as per Drg. No.- ICF/SK 3-6-1-046."
"3098","HEAD STOCK BEAM INNER REF: DRG.NO.: LLH-20/89, ITEM-1, ALT-NIL,."
"3098","Dropout delay time relay ARS time VS 24- 240v, Antiskid 0.5 sec to 10min, 7 Time ranges as per GE CAT No. 243012001/ ABB CAT No. ARS- 21. Tele machanics Model No. RE7RB11 MW."
"3098","Modified Catch for Securing B.C.B.R. as per LLH s Sk.No.- 04/2002."
"3098","Coller bearing part Number-73010051 Make- Electrolux professional or similar."
"3098","HEAD STOCK COMPLETE AS PER ICF DRG. NO. ICF/STD-1-2-001 Alt-K/5 OF COL-III MANUFACTURER SHALL FULFIL REQUIREMENTS AS PER ICF SPEC. ICF/MD/SPEC-147, REV-2 WITH AMND SLIP NO.- 1 OF FEB 2007"
"3098","TEE WITH FLANGE 25X25X20 mm RDSO/SK-96074 ALT.-1 MATERIAL STAINLESS STEEL TO IS: 6911-1992X04 Cr.19 Ni9 304 SI., QTY. IN NUMBER."
"3098","COVER SHEET"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-038 COL-VI LATEST EQUAL TO 1 SET."
"3098","COVER SHEET, DRG. NO.-LB10322 ALT NIL"
"3098","SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 REV.00 1 SLEEPER CLASS PLATE-BRAILLE TO DRG.140-8-3-011 COL-I 2 SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT and BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG. 329-6-4-038 COL-I."
"3098","BOGIE FRAME ARRANGEMENT FOR AIR SPRING TYPE 16T SG WITH BMBC, DRG. NO. CA03100 ALT. B "
"3098","BOGIE BOLSTER ARRANGEMENT FOR AC/NON AC AIR SPRING BOGIE, DRG. NO. CA04100 ALT. b."
"3098","BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C ."
"3098","DOOR HANDLE DRG. NO.- LW56429. ALT a "
"3098","BOGIE FRAME ARRANGEMENT FOR AIR SPRING TYPE 16T SG WITH BMBC, DRG. NO. CA03100 ALT. b "
"3098","BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C ."
"3098","SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 REV.00 1 SLEEPER CLASS PLATE-BRAILLE TO DRG.140-8-3-011 COL-I 2 SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT and BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG. 329-6-4-038 COL-I."
"3098","SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 REV.00 1 SLEEPER CLASS PLATE-BRAILLE TO DRG.140-8-3-011 COL-I 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT and BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG. 329-6-4-038 COL-I."
"3098","SAFETY RAIL DRG NO.-LW 61230 ALT- d ."
"3098","BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C ."
"3098","CHUTE COMPLETE FOR WASH BASIN OUTLET DRG. NO. G/SD3-693.DRAWING ATTACHED IN DOCUMENT FILE."
"3098","LOCKING PLATE FOR LHB WHEEL SECURITY PLATE DRG. NO. 1356176, DRAWING COPY ATTACHED IN DOCUMENT FILE."
"3098","OPENING MECHANISM FOR BALL VALVE FOR BIO-TOILET RETENTION TANK GRADE-AISI 316 DRG. NO. MI005986 ALT b OR LATEST."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF : 1 SLEEPER CLASSES STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-1 ALT. LATEST 1 SET 2 SEAT LOCTION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-1 ALT. LATEST 1 SET 3 NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-VIII ALT. LATEST 1 SET 4 NOTICE WITH BRAILLE SCRIPT TO DRG. ICF/SK 3-6-4-038 COL-I ALT LATEST 1 SET."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF SPECN ICF/MD/SPECN-253 ISSUE STATUS 01 REV. LATEST CONSISTS OF: 1. AC THREE TIER STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-6 ALT. LATEST 1 SET 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-6 ALT. LATEST 1 SET 3 NUMBER PLATE FOR SEAT and BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-IV ALT. LATEST 1SET 4 NOTICES WITH BRAILLE SCRIPT TO DRG. ICF/SK3-6-4-038 COL-III ALT LATEST 1 SET."
"3098","BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C ."
"3098","TEE WITH FLANGE 20X20X20   QTY IN NOS   RDSO/SK-96074 ALT 1, MATERIAL STAINLESS STEEL TO IS:6911-1992x04 Cr 19 Ni 9304 SI"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-4-038 COL-VI LATEST EQUAL TO 1 SET."
"3098","TEE WITH FLANGE 20X20X20 QTY IN NOS. RDSO/SK-96074 ALT-1, MATERIAL STAINLESS STTEL TO IS: 6911-1992x04 Cr 19 Ni 9304 SI"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE."
"3098","ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE."
"3098","COVER SHEET DRAWING NO.- LB10319 ALT NIL. DRAWING COPY ATTACHED IN DOCUMENT FILE"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE"
"3098","ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE."
"3098","BRACKETFOR OUTER HEAD STOCK TO DRG NO CG-15032"
"3098","MOUNTING BRACKET FOR INNER HEAD STOCK TO DRG NO CG-15033"
"3098","LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRG. NO. 1356176, DRAWING COPY ATTACHED IN DOCUMENT FILE."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE"
"3098","DOOR HANDLE DRG. NO.- LW56429. ALT a "
"3098","SAFETY RAIL DRG NO.-LW 61230 ALT- d ."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF :1 SLEEPER CLASSES STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-1 ALT. LATEST 1 SET 2 SEAT LOCTION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-1 ALT. LATEST-1 SET 3 NUMBER PLATE FOR SEAT and BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-VIII ALT. LATEST 1 SET 4 NOTICE WITH BRAILLE SCRIPT TO DRG. ICF/SK 3-6-4-038 COL-I ALT LATEST 1 SET."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF SPECN ICF/MD/SPECN-253 ISSUE STATUS 01 REV. LATEST CONSISTS OF: 1. AC THREE TIER STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-6 ALT. LATEST 1 SET 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-6 ALT. LATEST 1 SET 3 NUMBER PLATE FOR SEAT @ BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-IV ALT. LATEST 1SET 4 NOTICES WITH BRAILLE SCRIPT TO DRG. ICF/SK3-6-4-038 COL-III ALT LATEST 1 SET."
"3098","ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE"
"3098","COVER SHEET DRAWING NO.- LB10319 ALT NIL. DRAWING COPY ATTACHED IN DOCUMENT FILE"
"3098","LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRG. NO. 1356176, DRAWING COPY ATTACHED IN DOCUMENT FILE."
"3098","MAGZINE BAG BROWN DRG. NO. WGSCWAC-6-4-027"
"3098","MUG STAND STAINLESS STEEL , DRG.NO. G/SD 3-460, TEST PIECE REQUIRED ALONG WITH BULK SUPPLY. DRAWING COPY ATTACHED IN DOCUMENT FILE"
"3098","SAFETY RAIL DRG NO-LW 61230 ALT d"
"3098","TEE WITH FLANGE 20X20X20 QTY IN NOS. RDSO/SK-96074 ALT-1, MATERIAL STAINLESS STTEL TO IS: 6911-1992x04 Cr 19 Ni 9304 SI"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-038 COL-VI LATEST EQUAL TO 1 SET."
"3098","Chute Complete for Wash Basin Outlet Drg. No. G/SD3-693"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-4-038 COL-VI LATEST EQUAL TO 1 SET."
"3098","COVER SHEET DRG. NO. LB10321 ALT. NIL"
"3098","BRACKET ON U/F FOR MOUNTING DRG NO. CG-15036 ITEM 3,4,5 and 6"
"3098","BRACKET ON U/F FOR MOUNTING DRG NO. CG-15036 ITEM 3,4,5 and 6"
"3098","MOUNTING BRACKET FOR OUTER HEAD STOCK TO DRG NO CG-15032"
"3098","BRACKET ON U/F FOR MOUNTING TO DRG NO. CG-15036, ITEM 3,4,5 AND 6"
"3098","MOUNTING BRACKET FOR INNER HEAD STOCK TO DRG NO. CG-15033"
"3098","MUG STAND STAINLESS STEEL , DRG.NO. G/SD 3-460, DRAWING COPY ATTACHED IN DOCUMENT FILE"
"3098","COMPRESSION SPRING SK-722"
"3098","ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-4-038 COL-VI LATEST EQUAL TO 1 SET."
"3098","Outlet Slide Valve as per RCF Drg. no. MI005568, Make- Amit, Vibhu,Aikon."
"3098","Inside Coach No. Display Plate made of Acrylic, size- 5 x 5 , Sample to be approved by consignee before supply, Detail as per Annexure A."
"3098","A Set of Bi Lingual Vinyl Sticker for Destination board Size- 48 x6 2325 Nos. and Multilingual Vinyl Sticker for Valley Board Size 48 x18 145 No s. Pasting with good adhesive quality on coaches boards , Detail as per Annexure."
"3098","Heavy Duty Elastic wire rope Elastic thread 10 mm dia. containing 80-85 inner threads of dia.0.6 mm each."
"3098","Flapper Valve Assembly Asper RCF Drg. no. MI005569, Make- Amit/ Vibhu/Aikon."
